MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:103576	Ccl11	chemokine (C-C motif) ligand 11	11		chemokine activity			ISO	P51671 	J:164563 	
MGI:103576	Ccl11	chemokine (C-C motif) ligand 11	11		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:108224	Ccl12	chemokine (C-C motif) ligand 12	11		chemokine activity			IBA	PTN000245709 	J:265628 	
MGI:108224	Ccl12	chemokine (C-C motif) ligand 12	11		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:1329039	Ccl17	chemokine (C-C motif) ligand 17	8		chemokine activity			IBA	PTN000245709 	J:265628 	
MGI:1329039	Ccl17	chemokine (C-C motif) ligand 17	8		chemokine activity			TAS		J:51316 	
MGI:1329039	Ccl17	chemokine (C-C motif) ligand 17	8		cytokine activity			TAS		J:51316 	
MGI:1346316	Ccl19	chemokine (C-C motif) ligand 19	4		chemokine activity			IBA	PTN000245709 	J:265628 	
MGI:1346316	Ccl19	chemokine (C-C motif) ligand 19	4		chemokine activity			IDA		J:175209 	
MGI:1346316	Ccl19	chemokine (C-C motif) ligand 19	4		chemokine activity			ISO	Q99731 	J:164563 	
MGI:1346316	Ccl19	chemokine (C-C motif) ligand 19	4		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:1329031	Ccl20	chemokine (C-C motif) ligand 20	1		chemokine activity			IBA	PTN000245709 	J:265628 	
MGI:1329031	Ccl20	chemokine (C-C motif) ligand 20	1		chemokine activity			ISO	RGD:3646 	J:155856 	
MGI:1329031	Ccl20	chemokine (C-C motif) ligand 20	1		cytokine activity			IDA		J:51311 	
MGI:1349183	Ccl21a	chemokine (C-C motif) ligand 21A (serine)	4		chemokine activity			IBA	PTN000245709 	J:265628 	
MGI:1349183	Ccl21a	chemokine (C-C motif) ligand 21A (serine)	4		chemokine activity			IDA		J:175209 	
MGI:1349183	Ccl21a	chemokine (C-C motif) ligand 21A (serine)	4		chemokine activity	happens in T cell		IMP		J:259583 	
MGI:1349183	Ccl21a	chemokine (C-C motif) ligand 21A (serine)	4		chemokine activity			ISO	O00585 	J:164563 	
MGI:1349183	Ccl21a	chemokine (C-C motif) ligand 21A (serine)	4		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:1349182	Ccl21b	chemokine (C-C motif) ligand 21B (leucine)	4		chemokine activity			IBA	PTN000245709 	J:265628 	
MGI:1349182	Ccl21b	chemokine (C-C motif) ligand 21B (leucine)	4		chemokine activity			ISO	U88320 	J:42623 	
MGI:1349182	Ccl21b	chemokine (C-C motif) ligand 21B (leucine)	4		chemokine activity			ISO	O00585 	J:164563 	
MGI:1891386	Ccl21c	chemokine (C-C motif) ligand 21C (leucine)	4		chemokine activity			IBA	PTN000245709 	J:265628 	
MGI:5434896	Ccl21d	chemokine (C-C motif) ligand 21D	4		chemokine activity			ISO	O00585 	J:164563 	
MGI:1306779	Ccl22	chemokine (C-C motif) ligand 22	8		chemokine activity			IBA	PTN000245709 	J:265628 	
MGI:1306779	Ccl22	chemokine (C-C motif) ligand 22	8		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:1928953	Ccl24	chemokine (C-C motif) ligand 24	5		chemokine activity			IBA	PTN000245709 	J:265628 	
MGI:1928953	Ccl24	chemokine (C-C motif) ligand 24	5		chemokine activity			ISO	O00175 	J:164563 	
MGI:1928953	Ccl24	chemokine (C-C motif) ligand 24	5		cytokine activity			IDA		J:66327 	
MGI:1099448	Ccl25	chemokine (C-C motif) ligand 25	8		chemokine activity			IBA	PTN000245709 	J:265628 	
MGI:1099448	Ccl25	chemokine (C-C motif) ligand 25	8		chemokine activity			IDA		J:59297 	
MGI:1099448	Ccl25	chemokine (C-C motif) ligand 25	8		chemokine activity			ISO	O15444 	J:164563 	
MGI:1099448	Ccl25	chemokine (C-C motif) ligand 25	8		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:3589281	Ccl26	chemokine (C-C motif) ligand 26	5		chemokine activity			IBA	PTN000245709 	J:265628 	
MGI:1343459	Ccl27a	chemokine (C-C motif) ligand 27A	4		chemokine activity			IBA	PTN002704760 	J:265628 	
MGI:1343459	Ccl27a	chemokine (C-C motif) ligand 27A	4		chemokine activity			IDA		J:241132 	
MGI:1343459	Ccl27a	chemokine (C-C motif) ligand 27A	4		cytokine activity			IDA		J:61403 	
MGI:1861731	Ccl28	chemokine (C-C motif) ligand 28	13		chemokine activity			IBA	PTN002704760 	J:265628 	
MGI:1861731	Ccl28	chemokine (C-C motif) ligand 28	13		chemokine activity			IDA		J:241132 	
MGI:1861731	Ccl28	chemokine (C-C motif) ligand 28	13		chemokine activity			ISO	Q9NRJ3 	J:164563 	
MGI:1861731	Ccl28	chemokine (C-C motif) ligand 28	13		chemokine activity			ISS		J:63604 	
MGI:1861731	Ccl28	chemokine (C-C motif) ligand 28	13		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:88337	Cd40lg	CD40 ligand	X		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:1195273	Cd70	CD70 antigen	17		cytokine activity			ISO	P32970 	J:164563 	
MGI:1201414	Cer1	cerberus 1, DAN family BMP antagonist	4		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:1922708	Cklf	chemokine-like factor	8		chemokine activity			ISO	Q9UBR5 	J:164563 	
MGI:1922708	Cklf	chemokine-like factor	8		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:1930088	Clcf1	cardiotrophin-like cytokine factor 1	19		cytokine activity			IBA	PTN001085373 	J:265628 	
MGI:1930088	Clcf1	cardiotrophin-like cytokine factor 1	19		cytokine activity			IDA		J:57927 	
MGI:1930088	Clcf1	cardiotrophin-like cytokine factor 1	19	contributes_to	cytokine activity			ISO	Q9UBD9 	J:164563 	
MGI:2447160	Cmtm2a	CKLF-like MARVEL transmembrane domain containing 2A	8		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:2447311	Cmtm2b	CKLF-like MARVEL transmembrane domain containing 2B	8		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:2447162	Cmtm3	CKLF-like MARVEL transmembrane domain containing 3	8		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:2447164	Cmtm5	CKLF-like MARVEL transmembrane domain containing 5	14		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:2447166	Cmtm7	CKLF-like MARVEL transmembrane domain containing 7	9		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:2447167	Cmtm8	CKLF-like MARVEL transmembrane domain containing 8	9		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:88439	Cntf	ciliary neurotrophic factor	19		cytokine activity			IBA	PTN001432742 	J:265628 	
MGI:88439	Cntf	ciliary neurotrophic factor	19		cytokine activity			ISO	RGD:2370 	J:155856 	
MGI:1340030	Crlf1	cytokine receptor-like factor 1	8	contributes_to	cytokine activity			ISO	O75462 	J:164563 	
MGI:1889506	Crlf2	cytokine receptor-like factor 2	5		cytokine activity			ISO	RGD:621078 	J:155856 	
MGI:1339753	Csf1	colony stimulating factor 1 (macrophage)	3		cytokine activity			IBA	PTN002559881 	J:265628 	
MGI:1339753	Csf1	colony stimulating factor 1 (macrophage)	3		cytokine activity			ISO	P09603 	J:73065 	
MGI:1339752	Csf2	colony stimulating factor 2 (granulocyte-macrophage)	11		cytokine activity			IBA	PTN000006643 	J:265628 	
MGI:1339752	Csf2	colony stimulating factor 2 (granulocyte-macrophage)	11		cytokine activity	happens in granulocyte monocyte progenitor cell		IDA		J:98325 	
MGI:1339752	Csf2	colony stimulating factor 2 (granulocyte-macrophage)	11		cytokine activity	happens in myeloid lineage restricted progenitor cell		IDA		J:1049 	
MGI:1339752	Csf2	colony stimulating factor 2 (granulocyte-macrophage)	11		cytokine activity			ISO	RGD:621065 	J:155856 	
MGI:1339752	Csf2	colony stimulating factor 2 (granulocyte-macrophage)	11		cytokine activity			ISO	P04141 	J:164563 	
MGI:1339751	Csf3	colony stimulating factor 3 (granulocyte)	11		cytokine activity			IBA	PTN000053736 	J:265628 	
MGI:1339751	Csf3	colony stimulating factor 3 (granulocyte)	11		cytokine activity			ISO	P09919 	J:164563 	
MGI:1339751	Csf3	colony stimulating factor 3 (granulocyte)	11		cytokine activity			NAS		J:114121 	
MGI:105115	Ctf1	cardiotrophin 1	7		cytokine activity			IBA	PTN001085373 	J:265628 	
MGI:105115	Ctf1	cardiotrophin 1	7		cytokine activity			ISO	RGD:2442 	J:155856 	
MGI:2684607	Ctf2	cardiotrophin 2	7		cytokine activity			IBA	PTN001085373 	J:265628 	
MGI:1097153	Cx3cl1	chemokine (C-X3-C motif) ligand 1	8		chemokine activity			IBA	PTN000245709 	J:265628 	
MGI:1097153	Cx3cl1	chemokine (C-X3-C motif) ligand 1	8		chemokine activity		PR:O35188	IDA		J:40832 	
MGI:1097153	Cx3cl1	chemokine (C-X3-C motif) ligand 1	8		chemokine activity			ISO	RGD:620458 	J:155856 	
MGI:1097153	Cx3cl1	chemokine (C-X3-C motif) ligand 1	8		chemokine activity			ISO	P78423 	J:164563 	
MGI:1097153	Cx3cl1	chemokine (C-X3-C motif) ligand 1	8		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:108068	Cxcl1	chemokine (C-X-C motif) ligand 1	5		chemokine activity			IBA	PTN000021269 	J:265628 	
MGI:108068	Cxcl1	chemokine (C-X-C motif) ligand 1	5		chemokine activity			ISO	RGD:619869 	J:155856 	
MGI:108068	Cxcl1	chemokine (C-X-C motif) ligand 1	5		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:1340094	Cxcl2	chemokine (C-X-C motif) ligand 2	5		chemokine activity			IBA	PTN000021269 	J:265628 	
MGI:1340094	Cxcl2	chemokine (C-X-C motif) ligand 2	5		chemokine activity			ISO	RGD:70069 	J:155856 	
MGI:1340094	Cxcl2	chemokine (C-X-C motif) ligand 2	5		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:3037818	Cxcl3	chemokine (C-X-C motif) ligand 3	5		chemokine activity			IBA	PTN000021269 	J:265628 	
MGI:3037818	Cxcl3	chemokine (C-X-C motif) ligand 3	5		chemokine activity			IDA		J:88000 	
MGI:3037818	Cxcl3	chemokine (C-X-C motif) ligand 3	5		chemokine activity			ISO	RGD:621812 	J:155856 	
MGI:3037818	Cxcl3	chemokine (C-X-C motif) ligand 3	5		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:1096868	Cxcl5	chemokine (C-X-C motif) ligand 5	5		chemokine activity			IBA	PTN000021269 	J:265628 	
MGI:1096868	Cxcl5	chemokine (C-X-C motif) ligand 5	5		chemokine activity			ISO	RGD:708540 	J:155856 	
MGI:1096868	Cxcl5	chemokine (C-X-C motif) ligand 5	5		chemokine activity			ISO	P80162 	J:164563 	
MGI:1096868	Cxcl5	chemokine (C-X-C motif) ligand 5	5		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:1352449	Cxcl9	chemokine (C-X-C motif) ligand 9	5		chemokine activity			IBA	PTN000021269 	J:265628 	
MGI:1352449	Cxcl9	chemokine (C-X-C motif) ligand 9	5		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:1352450	Cxcl10	chemokine (C-X-C motif) ligand 10	5		chemokine activity			IBA	PTN000021269 	J:265628 	
MGI:1352450	Cxcl10	chemokine (C-X-C motif) ligand 10	5		chemokine activity			ISO	RGD:620209 	J:155856 	
MGI:1352450	Cxcl10	chemokine (C-X-C motif) ligand 10	5		chemokine activity			ISO	P02778 	J:164563 	
MGI:1352450	Cxcl10	chemokine (C-X-C motif) ligand 10	5		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:1860203	Cxcl11	chemokine (C-X-C motif) ligand 11	5		chemokine activity			TAS		J:62788 	
MGI:103556	Cxcl12	chemokine (C-X-C motif) ligand 12	6		chemokine activity			IBA	PTN000428507 	J:265628 	
MGI:103556	Cxcl12	chemokine (C-X-C motif) ligand 12	6		chemokine activity			IDA		J:79852 	
MGI:103556	Cxcl12	chemokine (C-X-C motif) ligand 12	6		chemokine activity			ISO	P48061 	J:164563 	
MGI:103556	Cxcl12	chemokine (C-X-C motif) ligand 12	6		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:1888499	Cxcl13	chemokine (C-X-C motif) ligand 13	5		chemokine activity			IBA	PTN000021269 	J:265628 	
MGI:1888499	Cxcl13	chemokine (C-X-C motif) ligand 13	5		chemokine activity			IDA		J:119527 	
MGI:1888499	Cxcl13	chemokine (C-X-C motif) ligand 13	5		chemokine activity			ISO	O43927 	J:164563 	
MGI:1888499	Cxcl13	chemokine (C-X-C motif) ligand 13	5		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:1888514	Cxcl14	chemokine (C-X-C motif) ligand 14	13		chemokine activity			IEA	IPR001811 IPR036048 IPR039088 	J:72247 	
MGI:1888514	Cxcl14	chemokine (C-X-C motif) ligand 14	13		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:1339941	Cxcl15	chemokine (C-X-C motif) ligand 15	5		chemokine activity			IBA	PTN000021269 	J:265628 	
MGI:1339941	Cxcl15	chemokine (C-X-C motif) ligand 15	5		chemokine activity			IDA		J:54701 J:60715 	
MGI:1339941	Cxcl15	chemokine (C-X-C motif) ligand 15	5		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:1932682	Cxcl16	chemokine (C-X-C motif) ligand 16	11		chemokine activity			IBA	PTN000373033 	J:265628 	
MGI:1932682	Cxcl16	chemokine (C-X-C motif) ligand 16	11		chemokine activity			IDA		J:65117 	
MGI:1932682	Cxcl16	chemokine (C-X-C motif) ligand 16	11		chemokine activity			ISO	Q9H2A7 	J:164563 	
MGI:1932682	Cxcl16	chemokine (C-X-C motif) ligand 16	11		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:2387642	Cxcl17	chemokine (C-X-C motif) ligand 17	7		chemokine activity			ISO	Q6UXB2 	J:73065 	
MGI:1354171	Ebi3	Epstein-Barr virus induced gene 3	17		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:95283	Edn1	endothelin 1	13		cytokine activity			ISO	P05305 	J:164563 	
MGI:95407	Epo	erythropoietin	5		cytokine activity			IBA	PTN002571322 	J:265628 	
MGI:95407	Epo	erythropoietin	5		cytokine activity			ISO	P01588 	J:164563 	
MGI:1270150	Fam3b	family with sequence similarity 3, member B	16		cytokine activity			NAS		J:78441 	
MGI:99255	Fasl	Fas ligand (TNF superfamily, member 6)	1		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:95516	Fgf2	fibroblast growth factor 2	3		cytokine activity			ISO	P09038 	J:164563 	
MGI:95560	Flt3l	FMS-like tyrosine kinase 3 ligand	7		cytokine activity			IEA	IPR004213 	J:72247 	
MGI:95560	Flt3l	FMS-like tyrosine kinase 3 ligand	7		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:95683	Gdf1	growth differentiation factor 1	8		cytokine activity			IBA	PTN000218063 	J:265628 	
MGI:1321394	Gdf2	growth differentiation factor 2	14		cytokine activity			IBA	PTN000218063 	J:265628 	
MGI:95686	Gdf3	growth differentiation factor 3	6		cytokine activity			IBA	PTN000218063 	J:265628 	
MGI:95688	Gdf5	growth differentiation factor 5	2		cytokine activity			IBA	PTN000218063 	J:265628 	
MGI:95689	Gdf6	growth differentiation factor 6	4		cytokine activity			IBA	PTN000218063 	J:265628 	
MGI:95690	Gdf7	growth differentiation factor 7	12		cytokine activity			IBA	PTN000218063 	J:265628 	
MGI:95692	Gdf9	growth differentiation factor 9	11		cytokine activity			IBA	PTN000218063 	J:265628 	
MGI:95684	Gdf10	growth differentiation factor 10	14		cytokine activity			IBA	PTN000218063 	J:265628 	
MGI:1338027	Gdf11	growth differentiation factor 11	10		cytokine activity			IBA	PTN000218063 	J:265628 	
MGI:1346047	Gdf15	growth differentiation factor 15	8		cytokine activity			IBA	PTN000218063 	J:265628 	
MGI:3701966	Gm13271	predicted gene 13271	4		cytokine activity			IBA	PTN000914537 	J:265628 	
MGI:3701968	Gm13272	predicted gene 13272	4		cytokine activity			IBA	PTN000914537 	J:265628 	
MGI:3701970	Gm13275	predicted gene 13275	4		cytokine activity			IBA	PTN000914537 	J:265628 	
MGI:3701972	Gm13276	predicted gene 13276	4		cytokine activity			IBA	PTN000914537 	J:265628 	
MGI:3701974	Gm13277	predicted gene 13277	4		cytokine activity			IBA	PTN000914537 	J:265628 	
MGI:3649573	Gm13283	predicted gene 13283	4		cytokine activity			IBA	PTN000914537 	J:265628 	
MGI:95797	Gpi1	glucose-6-phosphate isomerase 1	7		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:1344337	Grem1	gremlin 1, DAN family BMP antagonist	2		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:1344367	Grem2	gremlin 2, DAN family BMP antagonist	1		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:95832	Grn	granulin	11		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:96113	Hmgb1	high mobility group box 1	5		cytokine activity	happens in myeloid lineage restricted progenitor cell		IDA		J:25262 J:28646 	
MGI:96113	Hmgb1	high mobility group box 1	5		cytokine activity			ISO	P63159 	J:73065 	
MGI:107668	Ifna1	interferon alpha 1	4		cytokine activity			IBA	PTN000914537 	J:265628 	
MGI:107668	Ifna1	interferon alpha 1	4		cytokine activity			IDA		J:91936 	
MGI:107666	Ifna2	interferon alpha 2	4		cytokine activity			IBA	PTN000914537 	J:265628 	
MGI:107664	Ifna4	interferon alpha 4	4		cytokine activity			IBA	PTN000914537 	J:265628 	
MGI:107663	Ifna5	interferon alpha 5	4		cytokine activity			IBA	PTN000914537 	J:265628 	
MGI:107662	Ifna6	interferon alpha 6	4		cytokine activity			IBA	PTN000914537 	J:265628 	
MGI:107661	Ifna7	interferon alpha 7	4		cytokine activity			IBA	PTN000914537 	J:265628 	
MGI:107659	Ifna9	interferon alpha 9	4		cytokine activity			IBA	PTN000914537 	J:265628 	
MGI:109210	Ifna11	interferon alpha 11	4		cytokine activity			IBA	PTN000914537 	J:265628 	
MGI:2676324	Ifna12	interferon alpha 12	4		cytokine activity			IBA	PTN000914537 	J:265628 	
MGI:2667155	Ifna13	interferon alpha 13	4		cytokine activity			IBA	PTN000914537 	J:265628 	
MGI:3641425	Ifna14	interferon alpha 14	4		cytokine activity			IBA	PTN000914537 	J:265628 	
MGI:3649418	Ifna15	interferon alpha 15	4		cytokine activity			IBA	PTN000914537 	J:265628 	
MGI:3649260	Ifna16	interferon alpha 16	4		cytokine activity			IBA	PTN000914537 	J:265628 	
MGI:1097683	Ifnab	interferon alpha B	4		cytokine activity			IBA	PTN000914537 	J:265628 	
MGI:107657	Ifnb1	interferon beta 1, fibroblast	4		cytokine activity			IBA	PTN000914537 	J:265628 	
MGI:107657	Ifnb1	interferon beta 1, fibroblast	4		cytokine activity			IDA		J:91936 	
MGI:107657	Ifnb1	interferon beta 1, fibroblast	4		cytokine activity			ISO	P01574 	J:164563 	
MGI:2667156	Ifne	interferon epsilon	4		cytokine activity			IBA	PTN000914537 	J:265628 	
MGI:107656	Ifng	interferon gamma	10		cytokine activity			IBA	PTN000892718 	J:265628 	
MGI:107656	Ifng	interferon gamma	10		cytokine activity			IDA		J:83995 J:85159 J:88533 J:91936 	
MGI:2683287	Ifnk	interferon kappa	4		cytokine activity			IBA	PTN000914537 	J:265628 	
MGI:3647279	Ifnl2	interferon lambda 2	7		cytokine activity			IEA	IPR029177 	J:72247 	
MGI:3647279	Ifnl2	interferon lambda 2	7		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:2450574	Ifnl3	interferon lambda 3	7		cytokine activity			IEA	IPR029177 	J:72247 	
MGI:2450574	Ifnl3	interferon lambda 3	7		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:2448469	Ifnz	interferon zeta	4		cytokine activity			IBA	PTN000914537 	J:265628 	
MGI:96542	Il1a	interleukin 1 alpha	2		cytokine activity			IDA		J:193599 	
MGI:96542	Il1a	interleukin 1 alpha	2		cytokine activity			ISO	P01583 	J:164563 	
MGI:96543	Il1b	interleukin 1 beta	2		cytokine activity	happens in fibroblast		IDA		J:93342 	
MGI:96543	Il1b	interleukin 1 beta	2		cytokine activity			IDA		J:85159 	
MGI:96543	Il1b	interleukin 1 beta	2		cytokine activity			ISO	RGD:2891 	J:155856 	
MGI:96543	Il1b	interleukin 1 beta	2		cytokine activity			ISO	O43645 	J:73065 	
MGI:96543	Il1b	interleukin 1 beta	2		cytokine activity			ISO	P01584 	J:164563 	
MGI:1859325	Il1f5	interleukin 1 family, member 5 (delta)	2		cytokine activity			IEA	IPR000975 	J:72247 	
MGI:1859325	Il1f5	interleukin 1 family, member 5 (delta)	2		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:1859324	Il1f6	interleukin 1 family, member 6	2		cytokine activity			IBA	PTN000008572 	J:265628 	
MGI:1859324	Il1f6	interleukin 1 family, member 6	2		cytokine activity			IGI	MGI:1913107 	J:178804 	
MGI:1916927	Il1f8	interleukin 1 family, member 8	2		cytokine activity			IBA	PTN000008572 	J:265628 	
MGI:1916927	Il1f8	interleukin 1 family, member 8	2		cytokine activity			IGI	MGI:1913107 	J:178804 	
MGI:2449929	Il1f9	interleukin 1 family, member 9	2		cytokine activity			IBA	PTN000008572 	J:265628 	
MGI:2449929	Il1f9	interleukin 1 family, member 9	2		cytokine activity			IGI	MGI:1913107 	J:178804 	
MGI:2652548	Il1f10	interleukin 1 family, member 10	2		cytokine activity			IBA	PTN000008572 	J:265628 	
MGI:96547	Il1rn	interleukin 1 receptor antagonist	2		cytokine activity			IEA	IPR000975 	J:72247 	
