gene_name,gene_synonym
AC004696.2,nan
MIR602,MIRN602|hsa-mir-602
AC008069.1,nan
ADAMTS20,GON-1
BAG5,nan
RN7SL215P,nan
CDC25B,nan
LEFTY2,TGFB4|LEFTYA|EBAF|LEFTA
RPL22P6,nan
ELF2,NERF-1A|NERF-1B|EU32|NERF-2|NERF
KCNA7,Kv1.7|HAK6
ACOT1,LACH2|CTE-1|ACH2
AC087499.4,nan
MFSD2B,nan
RPL35P2,nan
FYCO1,ZFYVE7|FLJ13335
AP001825.3,nan
AC092139.2,nan
ARNT,bHLHe2|HIF-1beta
VRK1,nan
TIMM8AP1,DDPP|TIMM8AP
AC092296.3,nan
PRORP,MRPP3|KIAA0391
MIR649,hsa-mir-649|MIRN649
AL022318.1,nan
ASPRV1,SASPase|Taps|FLJ25084
MIR4465,hsa-mir-4465
RN7SL97P,nan
BX120007.2,nan
AC090337.1,nan
AC025887.2,nan
AL137127.1,nan
AC025048.6,nan
LRRK2,ROCO2|FLJ45829|PARK8|DKFZp434H2111|RIPK7
AC084211.1,nan
LRCH4,LRRN1|LRN
AP006222.1,nan
CTBP2,ribeye
ADI1P1,nan
LINC02100,nan
ZNF24,ZNF191|Zfp191|KOX17|ZSCAN3
GDF15,MIC1|PTGFB|PLAB|PDF|NAG-1|MIC-1
TUBB4AP1,nan
AC233280.3,nan
MG910338.1,nan
KRT25,KRT25A
AC107956.1,nan
ARHGAP42,TMEM133|GRAF3|AD031|FLJ32810
AC100872.1,nan
CCL4L2,nan
UQCRHP2,nan
USP49,MGC20741
AL136452.1,nan
FARP1,PPP1R75|PLEKHC2|CDEP|MGC87400
WNT5A,hWNT5A
CIAO1,WDR39|CIA1
AL591379.1,nan
HLA-B,AS
TRAP1,HSP75|HSP90L
AC092142.2,nan
ZMYM6,ZNF258|ZBED7|MYM|Buster2|ZNF198L4
AC140479.1,nan
SEC63P1,nan
RNU6-82P,RNU6-82
MIR1910,hsa-mir-1910|MIRN1910
AC009226.1,nan
AL356311.1,nan
AC020663.4,nan
PPIAP91,nan
LINC01539,nan
RNU6-651P,nan
AC105390.1,nan
SNX19,KIAA0254|CHET8
DNM1P33,DNM1DN7@|DNM1DN7-2
LINC02209,FAM183CP
AC005699.1,nan
CLCA3P,CLCA3
NAP1L5,DRLM
LINC02683,nan
AC103739.3,nan
AC103705.1,nan
AL158825.1,nan
DLX2-DT,DLX2-AS1|TCONS_00003049
AC034238.3,nan
AC048380.4,nan
OR8I2,nan
ALAS2,ASB
GAPDHP28,nan
AC009121.1,nan
ZNF877P,nan
BX908719.1,nan
MARCHF7,RNF177|MARCH7|AXOT|MARCH-VII
MIR642B,hsa-mir-642b
AL121992.1,nan
AC027088.4,nan
MIR4734,hsa-mir-4734
AC087311.1,nan
AC073592.4,nan
DNAJC6,PARK19|KIAA0473
VN1R38P,nan
PSMC1P1,bcm3415|PSMC1P
TRAV13-2,nan
RPL36AP29,nan
AC018717.1,nan
PLAGL1,LOT1|ZAC
AL359317.1,nan
ACTN4P1,nan
RPE,nan
RN7SL804P,nan
FIGN,nan
AC100839.2,nan
YIF1A,FinGER7|YIF1|YIF1P|54TM
MIR504,hsa-mir-504|MIRN504
AC009119.2,nan
AL157387.2,nan
SLC30A5,ZNT5|MGC5499|ZTL1|ZNTL1|FLJ12496|ZnT-5|FLJ12756
AC092570.1,nan
MIR4293,hsa-mir-4293
FOXA1,HNF3A
AC012370.1,nan
TAP1,D6S114E|ABCB2|PSF1|RING4
PRR20B,nan
PCOTH,C1QTNF9B-AS1
AL022344.1,nan
C20orf78,dJ1068E13.1
AC027575.2,nan
SETDB1,KG1T|TDRD21|ESET|KIAA0067|KMT1E
AC007923.1,nan
LINC02204,nan
PGM3,AGM1|DKFZP434B187|PAGM
LINC01099,nan
RNA5SP227,RN5S227
RPS27P23,nan
DUXAP4,nan
RN7SKP219,nan
AP000357.2,nan
BX679664.1,nan
SPTLC1P5,nan
AL390800.1,nan
AC068135.1,nan
CDY1B,nan
HAPLN1,CRTL1
INMT-MINDY4,INMT-FAM188B
AC109361.2,nan
ZNF519P1,nan
USP9YP7,nan
KCTD9P2,KCTD9L
OR10K1,nan
AC008072.1,nan
AHR,bHLHe76
SCARA3,APC7|CSR|CSR1|MSRL1|MSLR1
AC106886.6,nan
AC125603.2,nan
AL589684.1,nan
MG910337.2,nan
AC084757.3,nan
GPR18,nan
THAP12P2,PRKRIRP2
AP001363.2,nan
TMC4,nan
NANOGP3,nan
AC106795.7,nan
RNU6-432P,nan
AC104024.2,nan
RN7SL205P,nan
TRAJ9,nan
RNA5SP24,RN5S24
TOMM40L,TOMM40B|FLJ12770
MAP1LC3BP1,nan
AC092376.2,nan
B3GNT8,B3GALT7|BGALT15|beta3Gn-T8
AC022210.2,nan
PUDPP1,FAM16AY|HDHD1BP|HDHD1P1
AP000465.1,nan
PARVB,CGI-56
AC018761.4,nan
AC006027.1,nan
LINC02223,nan
RN7SL566P,nan
SLC16A12,MCT12
AC099654.5,nan
LINC01684,lnc-JAM2-6
AL845321.1,nan
AC008770.3,nan
GUSBP9,nan
AC139677.6,nan
AC008738.7,nan
AL033538.1,nan
AL513478.3,nan
AL132655.7,nan
ASS1P7,ASSP7
RBBP4P2,nan
AC073137.1,nan
CTCF,nan
RPS15AP1,dJ872K7.6
AL603756.1,nan
AL359715.2,nan
GRXCR2,DFNB101
GRB10,nan
AL035425.4,nan
AC011511.4,nan
AC023818.1,nan
PROM2,nan
AC105402.1,nan
AC104088.1,nan
IGHD1OR15-1B,IGHD1OR151B|IGHD1/OR15-1B
AC096589.1,nan
WSCD2,KIAA0789
ZNF35,Zfp105|HF10|HF.10
DUSP18,DUSP20
SNORD3J,nan
ABRA,STARS
LINC02478,nan
AC124798.3,nan
AC109583.2,nan
AC067750.1,nan
AC005041.2,nan
TSTD2,PP4189|C9orf97
IL23R,IL-23R
AC245128.19,nan
ZNF207,BuGZ
AC005520.1,nan
MIR410,hsa-mir-410|MIRN410
RNU6-483P,nan
AC093909.3,nan
AL031717.1,nan
KLRC4,NKG2-F
LINC00571,nan
PAK3,hPAK3|MRX47|MRX30|bPAK
SYN1,MRX50
AHSP,ERAF|EDRF
AC015849.11,nan
RPL7P11,nan
LINC01098,nan
SLC25A36P1,nan
STAT4,nan
AC099782.3,nan
BNIP3P3,nan
AC007996.1,nan
SLFN11,FLJ34922
AC106886.2,nan
SAMHD1,AGS5|Mg11|HDDC1|MOP-5|SBBI88
NENFP3,nan
AL359555.2,nan
FAM110B,MGC39325|C8orf72
PON3,nan
AC009754.1,nan
AF233439.1,nan
AC006963.2,nan
DEFA9P,DEFAP2
MIR99B,hsa-mir-99b|MIRN99B
AC011195.3,nan
LINC01720,nan
AC011270.2,nan
LINC01877,nan
MIR4476,hsa-mir-4476
AZIN1-AS1,nan
AC005899.8,nan
AC007848.1,nan
AC104986.1,nan
AC084851.3,nan
AP002528.1,nan
FAM200A,FLJ36794|DKFZp727G131|C7orf38
AC135983.1,nan
ERVV-2,ENVV2
TBX18-AS1,nan
MIR4642,hsa-mir-4642
RN7SL291P,nan
MIR520D,MIRN520D|hsa-mir-520d
AL450468.2,nan
CCNA2,CCNA|CCN1
RNU6-1318P,nan
AC022405.1,nan
XKR9,nan
MTND1P17,nan
MTND2P15,nan
MIR8084,hsa-mir-8084
AC133865.1,nan
DEFB114,DEFB-14
CNTLN,C9orf101|FLJ20276|OTTHUMG00000019597|bA340N12.1|C9orf39
AC134878.2,nan
AL589743.7,nan
VPS13B-DT,OLC8
PSG1,CD66f|PBG1|PSBG1|PSGGA
AL138702.1,nan
RPL23AP48,nan
FAAHP1,FAAH-OUT|LINC00505
SIL1,BAP|MSS|ULG5
Z98885.1,nan
C2CD4B,NLF2|FAM148B
RNU1-142P,nan
RN7SL618P,nan
RPL7A,SURF3|TRUP|L7A
AK9,dJ70A9.1|C6orf199|MGC26954|AKD1|C6orf224|FLJ42177|AKD2|FLJ25791
PAICS,ADE2H1|AIRC|PAIS
PSMA5,ZETA
SAPCD2,C9orf140|p42.3
KCNAB2,AKR6A5|KCNA2B|HKvbeta2.1|HKvbeta2.2
AC093677.3,nan
AC092652.1,nan
MIR937,hsa-mir-937|MIRN937
AC012443.1,nan
TRMT2B-AS1,nan
GMDS-DT,GMDS-AS1
IL9R,CD129
AC074281.1,nan
AC243660.7,nan
CR381653.2,nan
AC087289.5,nan
ZNF432,KIAA0798
FALEC,LINC00568|ncRNA-a1|FAL1
B3GALT4,GalT4|beta3Gal-T4
AL162390.2,nan
FHDC1,KIAA1727
C3AR1,C3AR|AZ3B
LGMN,PRSC1|LGMN1
MAGEA9,MGC8421|MAGE9|CT1.9
CACNA1C-AS4,nan
SLC2A13P1,nan
RNU7-96P,nan
CRTAM,CD355
RPS27AP2,dJ531H16.4
RPL10P4,nan
AC084782.3,nan
MYCL-AS1,nan
AF038458.1,nan
MIR624,hsa-mir-624|MIRN624
AL117187.1,nan
WEE2,FLJ16107|WEE1B
TSFM,EF-TS|EF-Tsmt
IGHV1OR15-6,IGHV1/OR15-6
AC090358.1,nan
BX120007.4,nan
AP000428.1,nan
FAR2P3,nan
CFAP54,C12orf63|FLJ31514|FLJ44112|C12orf55
ANKRD10,FLJ20093
TUBB8P4,nan
AC009087.1,nan
AC010551.1,nan
AC270313.1,nan
AL022324.2,nan
AC011632.2,nan
MIR6884,hsa-mir-6884
SNORD114-17,14q(II-17)
USP47,nan
AC013643.3,nan
AL031663.3,nan
MIR4716,hsa-mir-4716
AC145207.4,nan
PLEKHA3P1,PLEKHA3P
FCF1P10,nan
AP007216.1,nan
FAM230J,LINC01660
AC119674.2,nan
MBOAT4,FKSG89|GOAT|OACT4
MIR4436B2,hsa-mir-4436b-2
RC3H1-IT1,nan
AC012146.4,nan
OR10J3,OR10J3P
L3MBTL2-AS1,nan
HECTD4,KIAA0614|C12orf51|FLJ34154
RNA5SP311,RNA5SP314|RN5S311|RN5S314
CAHM,LINC00468
RNU6-1028P,nan
AP001284.1,nan
SLC5A8,AIT
SNORD115-34,HBII-52-34
TRPC6P,TRPC6L
AC027139.1,nan
AL391417.1,nan
HAUS8P1,nan
AC093627.1,nan
AC022893.1,nan
AL450992.4,nan
AL139275.1,nan
POU6F2-AS1,nan
RPL29P28,nan
AC051619.10,nan
SDCBPP2,nan
USP17L17,nan
MICAL3,KIAA0819
LINC01875,nan
LATS2-AS1,nan
AL109976.1,nan
SNRNP200,U5-200KD|ASCC3L1|BRR2|HELIC2|KIAA0788|RP33
OR7E103P,OR4D12P
AL591424.1,nan
AC134669.1,nan
CHRM2,nan
RPL19P13,nan
AC010486.2,nan
TMEM131,CC28|YR-23|PRO1048|RW1|KIAA0257
OR7C1,OR7C4|OR19-5
AP000350.7,nan
DNAJB6,MRJ|LGMD1D
AC092916.2,nan
AC093388.1,nan
RN7SL286P,nan
MIR3185,hsa-mir-3185
ZFR2,KIAA1086
ARL10,ARL10A
PSMD12,Rpn5|p55
AC013268.5,nan
RPS2P35,nan
AL354976.1,nan
OR13K1P,nan
AC024051.11,nan
ACVR1B,ACVRLK4|ALK4|SKR2|ActRIB
AC002458.1,nan
RPS29P1,nan
AC006947.1,nan
IGHJ4,nan
AF213884.2,nan
AL162311.1,nan
AC079331.2,nan
SNORA70B,nan
AL391560.1,nan
AC244453.1,nan
RN7SL277P,nan
FUT5,FUC-TV
NXPH4,NPH4
NFIX,NF1A
CU104682.1,nan
RNU6-377P,nan
AC116362.1,nan
AC091047.1,nan
AC109635.2,nan
AC093151.6,nan
AC004941.2,nan
ZDHHC8,ZNF378|KIAA1292
AC233699.1,nan
TUBB1,dJ543J19.4
GNB4,nan
FAM162A,E2IG5|C3orf28
OR14J1,OR5U1|hs6M1-28
AL008720.1,nan
H4C2,H4/I|HIST1H4B|H4FI
AF240627.1,nan
FRMD4B,KIAA1013|GRSP1
CSDE1,D1S155E|UNR
AC073316.1,nan
AC104982.2,nan
AL023807.1,nan
AC006942.1,nan
MTND1P16,nan
ZNF765,nan
ADAMTS12,nan
MILR1,Allergin-1|C17orf60|MCA-32
LINC02493,nan
AL109828.1,nan
AL772161.3,nan
AL096828.3,nan
SLC16A14P1,nan
AC183084.2,nan
RNU6-666P,nan
NCBP1,NCBP|CBP80|Sto1
AC007655.2,nan
UMLILO,nan
PTCD1,KIAA0632
Z82217.1,nan
AC009902.3,nan
Z75741.2,nan
AC146949.1,nan
GNAT1,CSNBAD3
SNORD114-1,14q(II-1)
RNU6-1050P,nan
MIR1200,MIRN1200|hsa-mir-1200
LANCL1,p40|GPR69A
AL445675.2,nan
SLIT2,Slit-2|SLIL3
AL360015.1,nan
TFAMP2,TCF6L3|MTTF1
APOA2,nan
AC024996.1,nan
CHODL-AS1,NCRNA00157|C21orf39
MYHAS,nan
AL109933.1,nan
RBP1,CRBP|RBPC|CRABP-I|CRBPI|CRBP1
ARHGAP22,RhoGAP2
AC005702.2,nan
OFD1P2Y,OFDYP2|OFD1P2|OFD1PY2
AC004967.2,nan
ANKRD26P4,nan
EFS,SIN|CASS3|HEFS|EFS1|EFS2
RNU7-90P,nan
ADAM9,KIAA0021|Mltng|CORD9|MDC9|MCMP
CETN3,CEN3
CYP4A26P,CYP4A-se1[12]
AC009081.1,nan
AP003717.2,nan
MIR4738,hsa-mir-4738
AC011825.1,nan
AL133279.2,nan
MS4A6A,CD20L3|MS4A6
OR56B2P,OR56B2
AC122683.1,nan
AL353803.2,nan
HNRNPA3P3,nan
LDHAP7,LDHAL7
WASH3P,FLJ25222|FAM39DP
PTP4A1P5,nan
AL355816.1,nan
NIP7P3,nan
AC073896.3,nan
IFT22,FLJ14117|DKFZp761N0823|RABL5|FLJ13225
AC016831.1,nan
IRF3,nan
CIPC,KIAA1737
IGKV3D-25,nan
AC130456.2,nan
AC107976.1,nan
IGHV1-3,VI-3B
CDC40,PRP17|FLJ10564|PRPF17|EHB3
AC078777.1,nan
ELOCP8,TCEB1P8
GMPR,nan
AC005224.2,nan
AC072026.2,nan
AC067852.3,nan
AC007322.3,nan
AL109933.3,nan
LINC02802,nan
TRIM49,RNF18|TRIM49A
AL358216.1,nan
AL355798.1,nan
SLC43A1,R00504|PB39|POV1
ZNF516,HsT287|KIAA0222
AC004156.1,nan
AC100836.1,nan
AL713866.1,nan
HAGH,GLXII|HAGH1|GLO2
RPL13AP2,nan
AL591926.8,nan
AC106798.1,nan
AC006362.1,nan
AC010422.8,nan
EIF1P7,nan
AL023583.1,nan
AL353803.5,nan
AC079178.1,nan
ACTG1P24,POTENP
CPEB2,nan
TEX2,HT008|TMEM96|KIAA1738
AL355365.1,nan
AP002004.1,nan
RPL7AP3,nan
AC135782.3,nan
AL157829.1,nan
IGFL4,nan
ENOX1,cCNOX|PIG38|FLJ10094|CNOX
AC004870.3,nan
SNORA54,ACA54
C4BPAP1,C4BPAL1
RNU6-604P,nan
PRPH,NEF4|PRPH1
AL512646.1,nan
MIR8076,hsa-mir-8076
RDH11,MDT1|ARSDR1|SDR7C1
AC091614.1,nan
KRT8P43,nan
ST3GAL1P1,nan
AC008125.1,nan
IGKV2-24,nan
VENTXP3,nan
COX6CP1,nan
BARX1-DT,BARX1-AS1
AC007432.1,nan
NAPSA,NAPA|KAP|Kdap|NAP1
AC024619.1,nan
ASS1P5,ASSP5
OPN1SW,BCP|BOP|CBT
NRAV,DYNLL1-AS1
INTS6-AS1,nan
RPS20P5,nan
AC020910.6,nan
ABHD1,FLJ36128|LABH1
HNRNPUP1,HNRPUP
TRAJ44,nan
AC099513.1,nan
MESP2,bHLHc6|SCDO2
AC097369.1,nan
AC006449.6,nan
RN7SL854P,nan
SNORA9B,nan
PPFIBP2,Cclp1
MIR1183,MIRN1183|hsa-mir-1183
SETP14,nan
TSBP1,TSBP|C6orf10
GU182353.1,nan
TMEM72-AS1,nan
AC112481.2,nan
SCN5A,CMPD2|CMD1E|HB2|HBBD|LQT3|ICCD|HH1|IVF|HB1|PFHB1|Nav1.5|CDCD2|SSS1
LINC01632,nan
AL929561.3,nan
RN7SKP238,nan
AC137723.1,nan
C14orf93,FLJ12154|RTFC
AC106845.2,nan
AL133482.1,nan
ZNRF4,RNF204|Ssrzf1|spzn
AC139100.1,nan
SNORD88B,HBII-180B
TSACC,SIP|SSTK-IP|C1orf182
LINC02564,nan
KIAA0513,nan
MIR4758,hsa-mir-4758
AC012291.1,nan
AL357153.1,nan
AC138647.2,nan
FAM126A,hyccin|HCC|DRCTNNB1A|HYCC1
RN7SL113P,nan
AC084877.1,nan
ARNTL,bHLHe5|JAP3|MOP3|PASD3|BMAL1
AC110491.2,nan
ANKFN1,FLJ38335
AC063979.2,nan
MARK2P17,nan
AL139286.1,nan
LINC00404,nan
RNU1-116P,nan
KP420444.2,nan
TXNDC17,TXNL5|MGC14353|TRP14
AL589787.1,nan
SOX7,nan
KRT18P52,nan
AC253536.3,nan
AC064875.1,nan
DKK4,nan
BOLA2B,nan
SNORA5C,ACA5c
AC002350.1,nan
AL121949.2,nan
PGM2,FLJ10983
AC004264.2,nan
AL136455.1,nan
EID1,C15orf3|CRI1|EID-1
GAPDHP54,nan
RPS23P2,nan
AL121871.1,nan
CA5BP1,PRO2325|CA5BP|CA5BL
AL133163.3,nan
SNORD114-31,14q(II-31)
AC107626.1,nan
EEF1A1P9,EEF1AL7
IL1RAPL2,IL1RAPL-2|IL1R9|IL-1R9|TIGIRR-1
AC005096.1,nan
AL158032.2,nan
AL391097.1,nan
CUX2P1,nan
AL359458.1,nan
AC091489.1,nan
AL157400.2,nan
HMGB1P28,nan
SAMM50,TOB55|TRG-3|CGI-51|SAM50|YNL026W|OMP85
RPS20P20,nan
AL117382.3,nan
AL356752.1,nan
BZW1P1,nan
KLHL7-DT,KLHL7-AS1|PLATAK
FRMD3,MGC20553|EPB41L4O
AL445686.1,nan
AL049650.1,nan
ERAL1,HERA-B
AC244250.2,nan
LINC02363,nan
AC109780.2,nan
PSG9,PSG11|PSGII
AL035588.1,nan
MTMR2,CMT4B|KIAA1073
AC243772.2,nan
DIS3L2P1,FAM6B|DIS3L2P
RPL23AP66,nan
RN7SL795P,nan
OGT,O-GLCNAC|FLJ23071|MGC22921|OGT1|HRNT1
FBXW11P1,BTRC2P|FBXW1BP|FBXW1BP1
OR5C1,OR9-F|hRPK-465_F_21|OR5C2P
ATP6AP2,M8-9|APT6M8-9|ATP6IP2|RENR|PRR|ATP6M8-9
PINLYP,nan
KCNQ1,KVLQT1|Kv7.1|KCNA8|LQT1|JLNS1|LQT|KCNA9
UTP6,HCA66|C17orf40
SNX5,nan
FSCN1,FLJ38511|p55|SNL
ZNF736P2Y,ZNF736P2
AC009118.2,nan
RBFA,HsT169|FLJ21172|C18orf22
ARID3A,DRIL1|BRIGHT
CSTB,STFB|EPM1|PME|CST6
EXTL2P1,EXTL2P
C2orf69P3,nan
REXO1L10P,nan
AF127577.3,nan
DDAH2,G6A
TRBV7-9,TRBV79|TCRBV6S4A1|TCRBV7S9
KIF2C,MCAK|KNSL6|CT139
LINC02339,nan
AC007283.1,nan
BOLA3P4,nan
RN7SKP263,nan
LHX1,LIM-1|LIM1
RNU6-862P,nan
AC007386.1,nan
MSH2,COCA1|HNPCC|HNPCC1
AC113414.1,nan
AL136419.2,nan
ZNF511,MGC30006
AC138781.1,nan
MPPED1,C22orf1|FAM1A|239AB
AC020922.3,nan
KRTAP6-1,C21orf103|KAP6.1
MIR3167,hsa-mir-3167
CICP16,nan
AC021594.1,nan
AC068042.1,nan
AC090699.1,nan
MORN3,nan
CNMD,BRICD3|CHM1|MYETS1|CHM-I|LECT1
AL031772.1,nan
LINC01726,nan
RHOU,DJ646B12.2|hG28K|ARHU|CDC42L1|fJ646B12.2|WRCH1|WRCH-1|FLJ10616
DYM,FLJ20071|SMC|DMC
AL162596.1,nan
AC233702.3,nan
SKA2,FAM33A|FLJ12758
RNU4-28P,nan
BCL9L,B9L|Bcl9-2|DLNB11
RNVU1-23,RNU1-92P
AL442065.1,nan
C2CD2,C21orf258|TMEM24L|C21orf25|DKFZP586F0422
AL513497.1,nan
AC006042.3,nan
AC009977.1,nan
SCGB1D1,LPHA|MGC71958|LIPA
AC079035.1,nan
MATN4,nan
EBNA1BP2,EBP2|NOBP|P40
C12orf77,nan
FAM90A12P,FAM90A12
VCAM1,CD106
ZNF446,FLJ20626|ZKSCAN20|ZSCAN52
HMGN3P1,nan
TENM1,ODZ1|ODZ3|TEN-M1|TEN1|TNM
AP006587.5,nan
DNAJC10,PDIA19|ERdj5
RALGAPB,RalGAPbeta|KIAA1219|DKFZp781M2411
SLC46A1,PCFT|HCP1|MGC9564
AC024082.2,nan
CCDC30,PFD6L|FLJ20972|LOC728621
AC006115.2,nan
AC215217.1,nan
RPS4XP15,RPS4P15
HNRNPA1P2,HNRPA1P2|dJ372B18.1
AC007128.1,nan
MIR4775,hsa-mir-4775
AC008522.1,nan
MTCYBP19,nan
ZNF114,MGC17986
SLC22A13,OAT10|ORCTL3|OCTL1|OCTL3
ZFAT-AS1,NCRNA00070|ZFATAS|ZFAT-AS|SAS-ZFAT
IGLV5-37,nan
DNM3-IT1,nan
NR1I3,CAR|MB67|CAR1
AC009022.2,nan
AC010424.3,nan
AC010343.2,nan
NTN5,nan
AC098614.1,nan
BCLAF1P1,nan
LILRA4,CD85g|ILT7
IGLV5-45,nan
RNA5SP512,RN5S512
KIR3DL3,KIR44|KIR3DL7|KIRC1|CD158Z
AC114324.1,nan
KPNA7,IPOA8
Z97192.2,nan
TUSC2P2,nan
Z97055.2,nan
AC118653.1,nan
RNU7-160P,nan
UNK,KIAA1753|ZC3H5|ZC3HDC5
CSPG4,MCSPG|HMW-MAA|NG2|MSK16|MCSP|MEL-CSPG
RNU6-163P,nan
GCNT7,dJ1153D9.2|C20orf105
AC073957.2,nan
FEN1,MF1|FEN-1|RAD2
JAKMIP3,KIAA4091|bA140A10.5|NECC2|FLJ37857|C10orf39|C10orf14
KIF1C-AS1,nan
AC027796.1,nan
AC104458.1,nan
Z98048.1,nan
AL139423.2,nan
AL031733.1,nan
AL450043.2,nan
EEF1A1P25,nan
OR10D4P,OR10D6P|OR10D4
TTI1,smg-10|KIAA0406
AC104656.1,nan
AC012236.1,nan
OR7E106P,OR7E40P|OST215
H2AP,HIP17|HYPM|CXorf27
DUS3L,DUS3|FLJ13896
RPL19,L19|DKFZp779D216|MGC71997|FLJ27452
AC099684.2,nan
HDAC1P2,nan
KCTD3,NY-REN-45
RFC5,RFC36
FABP7P2,nan
AL133383.2,nan
CDH18-AS1,nan
AC009107.1,nan
LINC02292,nan
MIR3161,hsa-mir-3161
ZCCHC10,FLJ20094
MEPCE,FLJ20257|MePCE|BCDIN3
AP000229.1,nan
SQLE,nan
ZNF847P,gm127
ATP6V0CP1,ATCD1
MUC5B,MUC5|MG1
AL139241.1,nan
AC002331.1,nan
AC008758.2,nan
DDX5,p68|G17P1|HLR1
TOX2,C20orf100|GCX-1|dJ1108D11.2
U82695.1,nan
AC090950.2,nan
AC046158.1,nan
AL359237.1,nan
AP001324.3,nan
ZNF83,FLJ11015|HPF1|ZNF816B
PSMC1P12,nan
AC270265.2,nan
LRRC29,FBXL9|FBL9
TSNAXIP1,TXI1
IFNA10,IFN-alphaC
LGALS9C,nan
TNRC6B,KIAA1093
CT476828.12,nan
AL160396.1,nan
RNF216-IT1,nan
AC010789.1,nan
MIR4273,hsa-mir-4273
STXBP1,UNC18|MUNC18-1|rbSec1|hUNC18
ALDH1L1-AS2,nan
MIR4251,hsa-mir-4251
HSPA8P11,nan
ENPP7P11,nan
ACOT6,C14orf42
FAM177A1P1,FAM177A2
POLR2J3,nan
SLC23A1,SLC23A2|SVCT1|YSPL3
AL034428.1,nan
AL353898.3,nan
AC115220.1,nan
AC140059.1,nan
AC087633.1,nan
RNU6-421P,nan
RNU6-99P,nan
RNU5E-10P,nan
SCARNA13,U93
AL356417.1,nan
CERS2,FLJ10243|LASS2|SP260
AC008507.1,nan
AC018558.1,nan
GU182343.4,nan
ADGRA2,GPR124|KIAA1531|DKFZp434C211|TEM5|FLJ14390|DKFZp434J0911
AL731768.1,nan
LINC02319,nan
UFC1,HSPC155
AL355916.3,nan
AL355379.1,nan
LINC01809,nan
NAT8L,Hcml3|FLJ37478|Shati
AC104457.1,nan
AC009812.2,nan
FAM197Y1,FAM197Y1P
AC091959.3,nan
ALKBH4,FLJ20013
AP003168.2,nan
RABAC1,PRAF1|PRA1|YIP3
UBE2E1-AS1,nan
AC112497.1,nan
PWRN2,NCRNA00199
AC004687.2,nan
MIR4279,hsa-mir-4279
MIR8078,hsa-mir-8078
AC023315.2,nan
Z73965.1,nan
CEACAM18,nan
AL035425.3,nan
AC013290.1,nan
KRTAP4-12,KAP4.12
KCNH7-AS1,nan
MIR5094,hsa-mir-5094
RPS12P31,nan
AC008035.1,nan
BX119917.1,nan
ACYP1,nan
CCR3,CD193|CMKBR3|CKR3|CC-CKR-3
LINC00400,nan
SEMA5A,semF|SEMAF
VLDLR-AS1,lincRNA-VLDLR
FANCD2P2,nan
AC209007.2,nan
AC079598.2,nan
CD86,B7.2|B7-2|CD28LG2
ACKR3,RDC1|CXCR7|GPR159|CMKOR1
DLGAP1-AS5,nan
RNA5SP97,RN5S97
AP002336.7,nan
PPP1R14D,MGC119014|GBPI-1|CPI17-like|MGC119016|FLJ20251
AC092814.2,nan
AC020634.2,nan
AL354726.1,nan
AC068792.1,nan
AC027290.3,nan
PPP2R3A,PR130|PR72|PPP2R3
TRAV11,nan
AC023787.2,nan
RNU6-238P,nan
PJVK,DFNB59
PPP1R15B,FLJ14744
AC010196.2,nan
NICN1,MGC12936
BX119904.3,nan
DHFRP2,nan
KRT8P4,nan
AL451062.4,nan
AC012354.8,nan
RNU1-131P,nan
KIF18A,DKFZP434G2226|PPP1R99
LINC02277,nan
AL135746.1,nan
AC135983.2,nan
ST13P12,nan
SCYGR10,KRTAP28-10|KRTAP28p2
AC126283.1,nan
LINC02154,GS1-600G8.5
CPNE1,CPN1
RN7SKP161,nan
AC106794.1,nan
ZNF833P,ZNF833
H2AZP4,H2AFZP4
MYLKP1,MYLKP
AC092448.1,nan
NLGN1,KIAA1070
PTAFR,nan
IRX1P1,nan
AL049612.1,nan
AP005061.2,nan
AC127496.3,nan
AL935212.4,nan
VCAN-AS1,nan
SIGIRR,IL-1R8|TIR8
KATNBL1P4,nan
NRBF2P4,nan
MIR4632,hsa-mir-4632
TRDN-AS1,HRAT13
AL590004.3,nan
CPN1,nan
AF131215.2,nan
GABRD,nan
AC005906.1,nan
OR7E121P,nan
ATF4P4,ATF4B
WDR46,BING4|UTP7|C6orf11
UBE2V2,EDPF1|DDVIT1|DDVit-1|MMS2|UEV2|UEV-2|EDAF-1|EDPF-1
ALG1L6P,nan
NFKBIE,IKBE
RPL21P40,nan
AL078581.2,nan
UQCR10,UCCR7.2|HSPC051|UCRC|QCR9
TEKT4P2,MAFIPL
SPINK5,LETKI|VAKTI|DKFZp686K19184|FLJ99794|FLJ21544|FLJ97596|LEKTI|NETS|FLJ97536|NS
KRT17P2,nan
AC242498.1,nan
AC106028.3,nan
AC005394.2,nan
AC025262.4,nan
SASH3,SLY|SH3D6C|HACS2|CXorf9|753P9
AP001063.1,nan
AC007422.1,nan
RN7SKP162,nan
AC130366.1,nan
AL591807.2,nan
HEBP1,HEBP|HBP
LRMDA,OCA7|C10orf11|CDA017
AL451136.1,nan
AC253536.7,nan
AC005220.1,nan
PRPS1,DFN2|CMTX5|DFNX1
RNU4ATAC4P,nan
RPL12P17,nan
HMGN2P25,nan
AC133485.2,nan
KP420441.1,nan
AC006359.4,nan
AC100823.2,nan
SCAMP2,nan
LINC02860,C7orf71
AF146191.4,nan
AL133393.1,nan
AL049714.1,nan
PCMTD2,C20orf36|FLJ10883
