CD,AlternativeName
CD162,P-Selectinglycoproteinligand(PSGL-1)|P-Selectin-IgGfusionprotein
CD163,Scavengerreceptorcysteine-richtype1proteinM130
CD164,MGC-24|A115|A24
CD166,ALCAM|BEN|DM-Grasp|MuSC|SC1
CD167a,Cak|Nep|Ddr1
CD168,RHAMM|Hmmr
CD169,Sialoadhesin|Siglec-1|Sn
CD170,Siglec-5|Siglecf|Siglec9
CD171,L1|L1-NCAM|NCAM-L1|L1cam
CD172a,SIRPa|SHPS-1|BIT|P84Antigen|SIRP|SHP-1|Ptpns1|AI835480
CD172b,SIRPb1|9930027N05Rik|Sirpb1a
CD176,TF|HP|Tfn|hpx|AI266983|MGC102653|Trf
CD177,NB1|Pdp3|1190003K14Rik
CD178,CD95L|FasLigand|Tnfsf6|APT1LG1
CD178.1,mFasL.1
CD179a,VpreB|MGC151428|Vpreb1
CD179b,l5
CD180,RP105|Ly-78|F630107B15
CD181,CXCR1|IL8Ra
CD182,CXCR2|IL8Rb|CDw128|Cmkar2|Gpcr16
CD183,CXCR3|Cmkar3|gpr9
CD184,CXCR4|Cmkar4|Fusin/LESTR
CD185,CXCR5|BLR1|Gpcr6
CD186,CXCR6|BONZO|STRL33|BB217514
CD191,CCR1|MIP-1aR|Cmkbr1
CD192,CCR2|Ckr2|Ccr2a|Ccr2b|Ckr2a|Ckr2b|mJe-r|Cmkbr2|Cc-ckr-2
CD193,CCR3|MIP-1aRL2|CKR3|Cmkbr3|CC-CKR3|Cmkbr1l2|MGC124265|MGC124266|Ccr3
CD195,CCR5|Cmkbr5|AM4-7
CD196,CCR6|KY411|Cmkbr6|CC-CKR-6
CD197,CCR7|EBI-1|BLR2|CMKBR7
CDw198,CCR8|TER1|CC-CKR-8|CKRL1|CMKBR8|CMKBRL2|CY6|GPRCY6|MGC129966|MGC129973
CDw199,CCR9|CMKBR10|GPR-9-6|A130091K22Rik
CD200,OX-2|Mox2
CD201,CCD41|EPCR|ProteinCReceptor|Ccca|AI325044|Procr
CD202,Endothelial-specificreceptortyrosinekinase|Tie2|Tek|Hyk|CD202b|RP23-345A23.1|AA517024
CD203c,Ly-41|PC-1|E-NPP1|Pca|ttw|twy|M6S1|NPP1|Npps
CD204,Macrophagescavengerreceptor|MSR1|Scvr|SR-AII|Scara1
CD205,DEC-205|Ly-75
CD206,MannosereceptorCtype-1(MRC1)|MMR|CLEC13D
CD207,Langerin|C-typelectindomainfamily4mem-berK(CLEC4K)
CD208,LAMP3|DC-LAMP|LAMP|TSC403|1200002D17Rik
CD209a,DC-SIGN|CDSIGN|CIRE|CD209antigen-likeproteinA(CD209a)|CLEC4L)
CDw210a,IL-10RA|IL-10R1
CDw210b,IL-10RB|IL-10R2
CD212,IL-12b1|IL-12b|CD212b1
CD213a1,IL-13Ra1|NR4
CD213a2,IL-13Ra2|Interleukin-13-bindingprotein(IL13BP)
CD217,Interleukin17receptorA(IL-17RA)|IL-17R|CDw217
CD218a,IL-18R1)IL-18RA|IL-18Ra|IL1receptor-relatedprotein(IL-1Rrp)|IL-R5
CD218b,IL-18Rb|IL-18receptoraccessoryprotein(IL-18RAP|IL-18RAcP)|IL-1Raccessoryprotein-like(IL-1RAcPL)|IL-1R7|CDw218b
CD220,Insulinreceptor(INSR)|IR
CD221,Insulin-likegrowthfactor1receptor(IGF1R)|IGF-1R|typeIIGFreceptor(IGF-IR)|JTK13
CD222,Cation-independentmannose-6-phosphatereceptor(M6P-R|CIM6PR|CIMPR|CI-MPR)|Insulin-likegrowthfactor2receptor(IGF2R|IGFIIR|IGF-IIR)|MPR1|MPRI
CD223,Lymphocyteactivationgene3(LAG3|LAG-3)|FDCprotein|Ly-66
CD224,g-glutamyltransferase1(GGT1)|g-glutamyltranspeptidase1(GGTP)|GGT|GTG|EC2.3.2.2
CD225,Interferon-inducedtransmembraneprotein1(IFITM1)|IFI17|Interferon-inducibleprotein9-27(9-27)|Leu13|Fragilis2
CD226,DNAXaccessorymolecule1(DNAM-1)|PlateletandTcellactivationantigen1(PTA-1)|Tlineage-specificactivationantigen1antigen(TLiSA1)
CD227,Mucin1(MUC1|MUC-1)|DF3antigen|H23antigen|PUM|PEM|EMA|Tumor-associatedmucin|Episialin
CD228,Melanotransferrin(MT|MTF1)|p97Melanomaantigen(p97|MAP97)|Mfi2|gp95
CD229,Lymphocyteantigen9(Ly9)|T-LymphocytesurfaceantigenLy-9|SLAMF3|Lgp100|T100
CD229.1,Lgp-100|Ly-9.1
CD230,PrionProtein(PrP|PRNP)|Majorprionprotein|prP27-30|prP33-35C|PrPc
CD231,Tetraspanin7(TSPAN7)|T-cellacutelym-phoblasticleukemia-associatedantigen1(TALLA-1)|TM4SF2|MembranecomponentXchromosomesurfacemarker-1(MXS1)|A15
CD232,PlexinC1(PLXNC1)|Virus-encodedsemapho-rinproteinreceptor(VESPR|VESP-R)
CD233,Solutecarrierfamily4anionexchangermember1(SLC4A1)|Band3|Anionexchanger1(AE1)|Diegobloodgroup|EPB3
CD234,Duffyantigen/chemokinereceptor(DARC)|Dfy|FY|Fy-glycoprotein|GlycoproteinD
CD235a,GlycophorinA(GYPA)|Sialoglycoproteina|SialoglycoproteinA|MNSbloodgroupantigen|PAS-2
CD236R,GlycophorinC(GYPC)|Gerbichbloodgroupantigen
CD238,Kellbloodgroupglycoprotein(Kel)|endothe-lin-3-convertingenzyme(ECE3)
CD239,Basalcelladhesionmolecule(BCAM|B-CAM)|Lutheranbloodgroupglycoprotein|Lu
CD240,Rhbloodgroupsystem|CD240D(Rh30D|Dbloodantigen)
CD241,RHAG|Rh50|Rh-associatedglycoprotein
CD242,ICAM-4|LWbloodgroup
CD243,P-gp|Pgy1|Mdr1|Abcb1
CD244,2B4|C9.1|Ly90|NAIL|Nmrk|NKR2B4|SLAMF4
CD246,Alk
CD247,CD3z|CD3zchain
CD248,TEM1|Endosialin
CD249,APA|Bp-1/6C3|Ly-51|Ly51
CD252,OX-40Ligand|gp34|TNFSF4
CD253,TRAIL|APO-2L|TL2|Ly81|Trail|APO-2L|Tnfsf10
CD254,ODF|OPG|OPGL|RANKL|Trance|Tnfsf11
CD256,APRIL|TALL2|TRDL1|Tnfsf13
CD257,BLyS|BAFF|TALL-1|TNFSF13B|TNFSF20
CD258,LTg|HVEML|LIGHT|TR2|HVEM-L|Tnfsf14
CD261,APO2|CD261|DR4|MGC9365|TRAILR-1|TRAILR1Tnfrsf10a
CD262,TRAIL-R2|Apo2|DR5|TRICK2|KILLER
CD265,RANK|TRANCE-R|ODFR|Tnfrsf11a
CD266,TWEAKReceptor|Fn14|Tnfrsf12a
CD267,TACI|Tnfrsf13b
CD268,BAFFR|Tnfrsf13c
CD269,BCMA|BCM|Tnfrsf17
CD271,NGFR|Bex3|Ngfrap1p75|LNGFR|p75NTR|p75NGFR|Tnfrsf16
CD272,BTLA|B-andTLymphocytes|MGC124217|MGC124218|A630002H24
CD273,B7DC|PD-L2|Btdc|PD-L2|MGC124039|MGC124040|F730015O22Rik|Pdcd1lg2
CD274,B7-H1|PD-L1|Pdcd1l1|Pdcd1lg1|A530045L-16Rik
CD275,B7-H2|GL50|B7RP-1|B7h|GI50|LICOS|B7RP-1|GL50-B|ICOS-L|Icoslg|Ly115l|AU044799|BG071784|KIAA0653|mKIAA0653|Icosl
CD276,B7h3|B7RP-2|AU016588|6030411F23Rik
CD278,ICOS|Ly115|H4|AILIM
CD279,PD-1|Programmeddeath-1|Pdc1|Ly101
CD280,ENDO180|MRC2|UPARAP|MGC141530|mKIAA0709
CD281,TLR1
CD282,TLR2|Ly105
CD283,TLR3|AI957183
CD284,TLR4|Ly87|Ran/M1|Rasl2-8
CD286,TLR6
CD288,TLR8
CD289,TLR9
CD292,BMPR1A|ALK3|SKR5|ALK3|Bmpr|AU045487|1110037I22Rik
CDw293,BMPR1B|ALK6|SKR6|Acvrlk6|CFK-43a|AI385617|AV355320
CD294,CRTH2|GPR44|Grp45|MGC130436
CD295,LeptinR|LEPR|db|Obr|obl|Modb1|LEPROT|OB-RGRP|MGC105189|obese-like
CD296,ART1|RT6|ART2|ADPRT|Yac-1
CD297,ART4|Dombrockbloodgroup|DO|DOK1|4432404K01Rik
CD298,Na+/K+-ATPaseb3subunit|AA409958|AI664000|AW212096|Atp1b3
CD301a,Clec10a|Mgl|Mgl1
CD302,Clec13A|DCL-1
CD304,BDCA4|Neuropilin1|NP-1
CD305,LAIR1
CD307,Fcrl5Fcreceptor-like5|Fcrh3|mBXMH2|Fcrl5
CD309,VEGFR2|Flk-1|KDR
CD314,NKG2D|KLRK1
CD315,CD9P1
CD316,EWI2|PGRL|KASP
CD317,BST2
CD318,CDCP1
CD319,CRACC|SLAMF7
CD320,Transcobalaminreceptor
CD321,JAM1|F11receptor|KAR
CD322,JAM2|VE-JAM
CD324,E-Cadherin|Uvomorulin
CD325,N-Cadherin|Cadherin-2
CD326,Ep-CAM|Ly-74
CD329,siglec9
CD331,FGFR1|FLT2|N-SAM
CD332,FGFR2|KGFR|KSAM
CD333,FGFR3|ACH|CEK2
CD334,FGFR4|TKF
CD335,NKp46|Ly-94
CD338,ABCG2|Mxr|ABC15|BCRP1
CD339,Jagged-1|Serrate1
CD340,c-erbB2|HER2|Neu
CD344,FZD4|Frizzledhomolog4
CD349,FZD9|Frizzledhomolog9
CD350,FZD10|Frizzledhomolog10
CD351,FCAMR|Fcreceptor|IgA|IgM|highaffinity
CD352,Ly-108|SLAMF6
CD353,SLAMF8|BLAME
CD354,TREM1
CD355,CRTAM
CD357,TNFRSF18|Tumornecrosisfactorreceptorsuperfamily|member18|GITR
CD358,TNFRSF21|Tumornecrosisfactorreceptorsuperfamily|member21|DR6
CD360,IL21R
CD361,EVI2B(ectopicviralintegrationsite2B)
CD362,Syndecan-2|Hspg1|Synd2
CD363,S1PR1|Sphingosine-1-phosphatereceptor1|EDG-1
