gene_name,gene_synonym
Mir466b-1,Mirn466b-1|Mir466b-1a|mmu-mir-466b-1|Mirn466b-1a
Gm15942,nan
Tmem64,9630015D15Rik
Methig1,Mettl7a2Higd1c|UbiE-YGHL1|Mettl7a2-Higd1c|AB099516|UbiE2-Hig1-4
Aph1b,2310057K14Rik
Gm4601,nan
Lmf2,Tmem112b|Tmem153
Rtraf,2700060E02Rik
Pla2g4d,2610311B01Rik|Pla2delta
Nbeal1,2310076G13Rik|ALS2CR17|A530083I02Rik|A530050O19Rik
Gm38273,nan
Gm44756,nan
Gm18616,nan
Gm11353,nan
Tmem125,6330530A05Rik
Gramd1b,A930008A22Rik
Gm14520,nan
Scgb1b27,Tcp|Abp|Abpa27|Sal-1|Abpa
Crtc2,4632407F12Rik
Gm49948,nan
Upk3bl,2310043J07Rik
Cyb5b,1810044O22Rik
Oip5,5730547N13Rik|Lint-25
Gm45888,nan
4933402N03Rik,nan
Gm37987,nan
Gm49855,nan
Gm25354,nan
Gm37227,nan
Maff,nan
Gm45029,nan
Gm6599,nan
Gm42513,nan
Gm47903,nan
Hyal2,nan
Eldr,Fabl|4930500E12Rik|2810442I21Rik
Kis2,Kis2-T3|Platr24|Xpcl1|Kis2-T1|Kis2-T5|Kis2-T2|Kis2-T4
Gm12721,nan
Qrfpr,Gpr103|AQ27
Cdo1,Cdo|1300002L19Rik|D18Ucla3
Gm15154,nan
4930511A02Rik,nan
Gm28154,nan
Gm29439,nan
Gm15370,nan
Gm8378,nan
Wwc2,D8Ertd594e
Gm22960,nan
Dars,5730439G15Rik
Gm21198,nan
LT629149.1,nan
Gm25596,nan
Gm22613,nan
Albfm1,ARG|5830473C10Rik|Gm17754
Gm42620,nan
Gm13274,nan
Ddx54,APR-5|DP97|2410015A15Rik
Mir7044,mmu-mir-7044
4933440J02Rik,nan
Gm48291,nan
Gm25796,nan
Runx3,AML2|Cbfa3|Rx3
Gm5954,nan
Ube2g2,Ubc7p|D10Xrf369|UBC7|1110003O05Rik
H1f4,H1var2|H1e|H1s-4|H1-4|Hist1h1e|H1f4
Gm19195,nan
Fam166b,4833436C18Rik
Clcnka,Clcnk1|CLC-K1
Gm23657,nan
Gm13697,nan
Gm27227,nan
4931429P17Rik,nan
Zfp229,nan
Yipf7,Yip1b|2310016N21Rik
Gm35256,nan
CU041226.1,nan
Gm47312,nan
Gm49755,nan
Olfr893,GA_x6K02T2PVTD-31889215-31890153|MOR170-11
Gm13200,nan
Gm20525,nan
Gm22645,nan
Nat8f4,1700019G17Rik
Gm29519,nan
Syncrip,Nsap1l|GRY-RBP|Nsap1|pp68|2610109K23Rik|hnRNP Q|RRM RNA binding protein GRY-RBP|4632417O19Rik
Ltk,nan
Gm29800,nan
Gm7742,nan
Armcx4,nan
Gucy1a1,Gucy1a3|alpha 1 sGC|sGC-alpha1|1200016O07Rik
Gm18038,nan
Gm31181,nan
Taar6,LOC215855
Gm9905,nan
Rad51d,R51H3|Rad51l3
Gm23918,nan
2410012E07Rik,nan
Gm29255,nan
Gm21626,nan
Ifit3,Ifi49
Gm43321,nan
Trav8-1,Gm13950
Gm29548,nan
4933416M07Rik,nan
BC065403,A930005F02Rik
Plxna4os3,Gm13851
5330413D20Rik,nan
Gm14582,nan
Dagla,Nsddr
4930448H16Rik,nan
Rpap3-ps2,Gm18778
Gzf1,8430437G08Rik|Zfp336
Gm48566,nan
Gm23388,nan
Gm8288,nan
Defb12,9230103N16Rik|mBD-12
Gm22687,nan
Gm23889,nan
Gm25706,nan
Entpd5,Pcph|Cd39l4|ER-UDPase|mNTPase|NTPDase5|NTPDase-5
Gm42482,nan
Gm48658,nan
Spag11b,nan
Dnmbp,Tuba|2410003L07Rik|2410003M15Rik
Gm13743,nan
Sdf4,Cab45
Ang2,Rnase5b|Angrp
Ttll9,1700016F23Rik|4930509O20Rik
Gm44496,nan
Ccdc120,Sfc25|DXImx50e
Gm37091,nan
Gm3956,nan
Gm20689,nan
Gm22236,nan
5730420D15Rik,nan
Gm30667,nan
Zfp862-ps,4732460K03Rik|Zfp862
Gm34655,nan
Gm15640,nan
Gm10370,nan
Gm18508,nan
Aqp6,nan
Trpv6,CaT1|CAT|Cac|Ecac2
Haus2,1700101G24Rik|Cep27|2410007P03Rik
Olfr373,MOR282-1|GA_x6K02T2NUPS-231686-232630|MOR282-2
Gm5860,nan
Mir100,mir 100|mmu-mir-100|Mirn100
Cfap100,C030041G11Rik|C230069K22Rik|Ccdc37
Gm15832,nan
Gm12371,nan
Gm7694,nan
Zfp707,1500031N24Rik
Dera,2010002D22Rik|2500002K03Rik
Gm25700,nan
Gm12860,nan
Gm9042,nan
Gm25648,nan
Gm24233,nan
Gm24548,nan
Higd1b,2310056K19Rik
5031434C07Rik,nan
Gm15917,nan
Celrr,Celr|AI848258|B230209K01Rik|LOC329240
Auts2,2700063G02Rik|A730011F23Rik|D830032G16Rik
9130230N09Rik,nan
Proc,inactivator of coagulation factors Va|PC|VIII
Arr3,Arr4|arrestin 4|CAR|cone arrestin|X-arrestin|mCARFL|mCAR
Gm28735,nan
Shisa2,9430059P22Rik|mShisa|shisa|Tmem46|MAd2
Gm36990,nan
Gm14768,nan
Gm3836,nan
4932415D10Rik,nan
Sestd1,1500031J16Rik
Gm42807,nan
Gm25361,nan
Gm42723,nan
4933432I09Rik,nan
Gm43578,nan
Fbln7,1600015H20Rik
Rpl9-ps8,Gm5713
Uqcrh,2610041P16Rik|2210416J04Rik|2310021J10Rik
Acsf2,nan
Gm24199,nan
Nrgn,NG/RC3|protein kinase C substrate|0710001B06Rik|RC3|Pss1|NG
Gm24732,nan
Gm43900,nan
Gm14523,nan
Gm17895,nan
Gm6669,nan
Igfbp1,IGFBP-1
Casp6,mCASP-6|Mch2
Gm18875,nan
Slx4,D16Bwg1016e|Btbd12
Gm42523,nan
Gm27651,nan
Gm5121,nan
Gm28251,nan
Gm28436,nan
Tmsb10,Tb10|Ptmb10
Gm11266,nan
Krt78,2310030B04Rik
Thrsp,S14|Spot 14
Gm24128,nan
Ablim3,D930036B08Rik
Gm20900,nan
Gm47685,nan
BC085271,nan
Whamm,Whdc1
Gm12292,nan
Selenov,BC089491
Rnase2b,Ear5|mR5|murine ribonuclease 5
Gm14314,nan
Gm45824,nan
Ighv1-12,nan
Zfp292,Zn-15|5730450D02Rik|Krox-10|Zn-16|Zfp15|9430062L07Rik|Zfp-15
1700045H11Rik,nan
Gm13538,nan
Stub1,2210017D18Rik|0610033N24Rik|2310040B03Rik|CHIP
A330074H02Rik,nan
Gm22466,nan
Gm10945,nan
Gm36943,nan
St5,2010004M01Rik|2610305K15Rik
Sparcl1,Ecm2|hevin|Sc1|mast9
Rpgrip1,4930401L23Rik|nmf247|A930002K18Rik|4930505G06Rik
A330070K13Rik,LOC381673
Gm12194,EG380696
Gm8708,nan
Psg19,Cea-4|Cea4|CGM7
Olfr969,MOR171-7|GA_x6K02T2PVTD-33492981-33493916
Gm16853,nan
Mir6993,mmu-mir-6993
Lss,Osc|2810025N20Rik|D10Ertd116e
4933440M02Rik,nan
Fzd4,Fz4
Gm45013,nan
Ighv3-3,nan
Gm9211,nan
Tsen15,5730449L18Rik
Mir3079,mmu-mir-3079
Gm5670,nan
Ccdc201,Gm11985|BG074389
Nr1i2,PXR.2|mPXR|SXR|Pregnane X receptor|PXR|PXR.1
Tbp,Gtf2d
Otulinl,Fam105a
Atp6v1h,0710001F19Rik
Golga7,C130038N16Rik|GCP16|HSPC041|GOLGA3AP1
Mxd3,4631412E13Rik|Mad3|bHLHc13
Ralgapb,B230339M05Rik
Clk2,nan
Ulk2,Unc51.2|A830085I22Rik
D030007L05Rik,nan
Gm43370,nan
Gm4952,nan
Gm18350,nan
Gm48187,nan
6030440G07Rik,nan
Gm12857,nan
Gm13021,nan
Gm15001,nan
Gm6802,nan
Oog1,c-1|Oog
Gm7684,nan
Mir6408,mmu-mir-6408
Gm17396,nan
Gm28542,nan
Gm8181,nan
Ppfibp2,Cclp1|liprin beta 2
Slc5a4a,nan
Olfr359-ps1,MOR159-2P|GA_x6K02T2NLDC-33711906-33710976
Xndc1,Xndr
Ccdc138,6230424H07Rik
Gm27974,nan
Nr1h2-ps,psiLXR beta|LXR-beta pseudogene|nuclear oxysterol receptor
Olfr626-ps1,MOR4-6_p|GA_x6K02T2PBJ9-6420691-6419804|MOR177-11P|Olfr261-ps1|GA_x6K02T2N45R-43937-44482
Emc8,Cox4nb|Noc4|Fam158b
Gm28938,nan
Gm49201,nan
Chpf,D1Bwg1363e|1700028N03Rik
Taf13,1810004N01Rik|2010309N11Rik
Gm2505,nan
Gm23966,nan
Gm11371,nan
B430010I23Rik,nan
Olfr688,MOR40-16|GA_x6K02T2PBJ9-7917168-7918148|MOR40-5
Gm24674,nan
Gm14497,nan
Gm4746,nan
Prelid3b,Slmo2|2310042G06Rik
Gm3551,nan
Trpa1,ANKTM1
Gm19222,nan
Gm9085,nan
Phxr2,SP28
Gm25039,nan
Ptrhd1,2410017P09Rik
2310030G06Rik,nan
Gm13781,nan
Gm11429,nan
Homez,nan
Ighd5-8,Gm17537
Gm25173,nan
Zfp568,LOC381866|chato
Gm26279,nan
Snx16,4930522N22Rik
Bcam,B-CAM|Lu|1200005K12Rik
Eps15,2410112D09Rik
Gm22909,nan
Gm10791,nan
4930532G15Rik,nan
Gm12624,nan
2010106C02Rik,nan
Gm15780,nan
Gm17133,nan
Mrps9,2310002A08Rik
Gm43050,nan
Gm48821,nan
Ccnb2,CycB2
1700027F09Rik,nan
Gm19498,nan
Crh,corticotropin releasing factor|CRF|LOC383938|corticotropin-releasing factor
5033417F24Rik,nan
Gm44174,nan
Mir5123,mmu-mir-5123
4930417O22Rik,nan
Mapk10,p493F12|JNK3|C230008H04Rik|Serk2
AL928965.1,nan
Astx1b,Gm14953
Xpot,EXPORTIN-T|C79645|1110004L07Rik
Gm49326,nan
1700015C17Rik,nan
Gm43600,nan
Cox8b,COX VIII-H|COX8H
Faf2,Ubxd8|2210404D11Rik
Ncl,B530004O11Rik|C23
Exoc3l,C730015A04Rik
Gm13332,nan
Huwe1,Ib772|Ureb1|C430014N20Rik|Arf-bp1|5430439H10Rik|LOC382250|Mule
Gm10558,nan
Gm6517,nan
Gm11951,nan
Krtap28-13,5530401N06Rik
Acsm3,Sah|Sa
Ythdf2,NY-REN-2|9430020E02Rik|HGRG8
Tmem189,nan
Pygl,nan
Gm10319,EG381806
Gm11219,nan
Gm29378,nan
Thoc2l,Gm3179|BC005561
Gm34274,nan
Myb,c-myb
Mir7230,mmu-mir-7230
Gm11915,nan
Cask,mLin-2|LIN-2|DXPri1|Pals3|DXRib1
Gm48218,nan
Gm29401,nan
Gm25463,nan
Gm29414,nan
Alk,Tcrz|CD246
Gm20302,nan
Gm21188,nan
B230206L02Rik,Gm11519
Pter,Mpr56-1
Iglj3p,nan
Gm3892,nan
Rnd2,Arhn|Rohn
Krt23,Krt1-23|CK23|K23
Gm50216,nan
Mcidas,Mci|Mcin|multicilin|Gm6320|Idas
Gm22670,nan
Gm45808,nan
Trim11,nan
Gm29069,nan
Gm9961,nan
Gm15539,nan
Tmc8,Ever2|EVIN2
Gm24933,nan
Rhox2g,EG434766|Rhox2.7
Pmepa1os,Gm14454
Gm44189,nan
Gm15252,nan
Mndal,Ifi212
n-R5s192,nan
Ak3l2-ps,Ak3l2
Gm28862,nan
Gm11116,nan
Olfr33,GA_x6K02T2PBJ9-5431102-5430146|MTPCR33|MOR11-2
Gm42555,nan
Fkbp15,C430014M02Rik|FKBP133
Gm16372,nan
Crisp1,CRISP-1|Aeg1
Gm29409,nan
Gm19605,nan
Ube2d4,nan
Gm7592,nan
Gm17590,nan
Gm28494,nan
Gm9050,nan
Gm45285,nan
Gm48349,nan
Gm13176,nan
Gm37119,nan
Gm43383,nan
Olfr1414,MOR103-2|GA_x6K02T2R7CC-81245243-81246181
Gm21027,nan
Gm25988,nan
Slc25a39,D11Ertd333e|3010027G13Rik
Rhox2f,EG434764|Rhox2.6
Defb6,mBD-6
Dlk2,Egfl9
Olfr557,GA_x6K02T2PBJ9-5414934-5415902|MOR18-3
Exosc1,2610104C07Rik|2610035C18Rik|2610312F07Rik
Gm19324,nan
Olfr1142-ps1,GA_x6K02T2Q125-49286959-49287762|MOR177-13P
Rep15,2210417D09Rik
4930553M12Rik,nan
Ighv1-41,Gm7014
Lrrc9,4921529O18Rik|4930432K16Rik
BC006965,nan
Olfr711,GA_x6K02T2PBJ9-9352783-9351839|MOR103-4
Gm29263,nan
4930447M23Rik,nan
Gm48793,nan
A830011K09Rik,nan
Gm5539,nan
Gm15872,nan
Ces2d-ps,nan
Gm9634,nan
Gm15136,nan
Gapdh-ps14,Gm2193
Gm28282,nan
Asap3,UPLC1|9430088F20Rik|Ddefl1
Gm13647,nan
1700092C10Rik,nan
Nod2,F830032C23Rik|Card15|Nlrc2
Mmp17,MT4-MMP|membrane type-4 matrix metalloproteinase
Armh4,3632451O06Rik
Gm49597,nan
Tnfsf13os,2010012P19Rik
Supt3,SPT3L|SPT3|2310066G22Rik|Supt3h
Gm45048,nan
Grid1,GluRdelta1
Zkscan16,Zfp483
Gm18132,nan
Gm23531,nan
Gm44979,nan
Gm16259,nan
AC140365.1,nan
Gm15258,nan
Mir412,Mirn412|mmu-mir-412|mir 412
Ifitm7,4933438K12Rik|Mil4
Gm32220,nan
Gm3642,nan
Gm47533,nan
Gm10488,nan
Igkv17-121,nan
Gm26533,nan
Gm13555,nan
Gm16001,nan
Defb19,Tdl
Amd-ps6,EG666251
Gm28820,nan
Gm12771,nan
Gm37341,nan
Gm24100,nan
Ddx58,6430573D20Rik|RIG-I
Wasf2,D4Ertd13e|WAVE2
Gm39375,nan
Cdh15,Mcad|Cdh14|M cadherin
Gm37454,nan
Gm37659,nan
Gm38410,nan
Klhl10,4921517C11Rik
Gm48459,nan
Eml4,4930443C24Rik
Gm17824,nan
Ipo9,Imp9|0710008K06Rik
Gm16138,nan
Il17rb,Il17br|IL17RH1|Evi27|IL-17ER|IL-17Rh1
Ank3,Ankyrin-3|AnkG|Ank-3|Ankyrin-G|2900054D09Rik
Cdh2,Ncad|N-cadherin|N-CAD
Gm21848,nan
Gm12014,nan
Dgkd,dgkd-2|DGKdelta
Itga5,Cd49e|Fnra
Gm49856,nan
C230035I16Rik,nan
Gm17786,nan
Gm27976,nan
Mir7686,mmu-mir-7686
Hif3a,Nepas|MOP7|bHLHe17
C330004P14Rik,nan
Foxo3,FKHRL1|Foxo3a|1110048B16Rik|Fkhr2|2010203A17Rik
Rnf138,2410015A17Rik|2810480D20Rik|Trif-d
Mup-ps26,Gm14310
Gm21902,nan
Gm13053,nan
Gm648,LOC270599
Strap,C78091|Unrip
Gm40988,nan
Glipr1l1,1700011E04Rik
Gm37523,nan
Gm28934,nan
Gm49211,nan
2900045O20Rik,nan
Gm48528,nan
Ppp2r3c,G4-1|5730412A08Rik|4930511A21Rik|G5pr
Gm25558,nan
Pno1,Emi3|Imi3|expressed during mesenchymal induction 3|1810003N24Rik
Gm47493,nan
Gm5649,nan
Ranbp2-ps3,Gm27259
Gm48090,nan
Uqcrc2,1500004O06Rik
Calml4,nan
Platr12,Gm11607
Gm18070,nan
Mapk13,SAPK4|Serk4|p38 delta MAP kinase
Gm43646,nan
Gm15902,nan
Gm40975,nan
Gm38033,nan
Zfp42-ps1,nan
Cbx1,Cbx-rs2|M31|Hp1beta|E430007M08Rik|MOD1|HP1B
E030037K01Rik,nan
Gm31645,nan
Sult1e1,Ste|EST
Lamc3,nan
Gm14819,nan
Gm27813,nan
Sstr5,sst5|Smstr5
Pik3r3,p55pik|p55
Gm8297,nan
Olfr337-ps1,MOR136-16P|GA_x6K02T2NLDC-33036285-33036731
Sval2,SLP-M
Frrs1,Sdfr2
Cyyr1,nan
Gm12902,nan
Gm23990,nan
Nipal3,9130020G22Rik|Npal3
Ppp2r5a,nan
Gm48889,nan
Gm50052,nan
Vkorc1,D7Wsu86e
Gm47412,nan
1700095B10Rik,nan
Inhbc,activin beta-C
Tbc1d13,2600014A06Rik
Arfrp1,1500006I01Rik
Lims1,C430041B13Rik|4921524A02Rik|Lims1l|PINCH1|2310016J22Rik
Bach2it1,Gm11932
Gm26019,nan
Gm6653,nan
Gm26611,nan
Gm48487,nan
Gm26003,nan
Gm28830,nan
Smg5,nan
Gm31107,nan
Rictor,4921505C17Rik|D530039E11Rik|6030405M08Rik
Abhd10,D230019K24Rik
Plpp7,Ppapdc3|NET39|D830019K17Rik
Lzic,1810030J04Rik
4930523O13Rik,nan
Prpf19,Snev|Prp19|D19Wsu55e|PSO4
Mir463,mmu-mir-463|mir 463|Mirn463
Gm20473,nan
Ndc80,Kntc2|2610020P18Rik|HEC1
Rplp0,36B4|Arbp
Gm49814,nan
Cited4,Mrg2
mt-Ts2,TrnS2 tRNA|tRNA-Ser_2|tRNA|tRNA-Ser
4933427E13Rik,nan
Vmn1r234,V1rf1
Gm29610,nan
Gm6921,nan
Gm23317,nan
Gm12031,nan
Spry3,nan
Gm6733,nan
Klhl1,nan
Mir327,Mirn327|mmu-mir-327
Gm26691,nan
Gm45210,nan
Myoz1,FATZ|calsarcin-2|2310001N11Rik
Gm47198,nan
Gm28264,nan
Gm38006,nan
Gm12479,nan
Slc17a4,9130214H05Rik
Cd5l,Sp-alpha|AAC-11|Api6|AIM/Spalpha|Pdp 1/6
Vmn1r115,Gm8549
Gm10308,nan
Ndst4,4930439H17Rik
Gm47923,nan
Gm24137,nan
Gm11625,nan
Cav2,nan
Adad2,4930403J07Rik
AC175464.1,nan
1700003P14Rik,nan
Gm15161,nan
Gm5672,nan
Gm47953,nan
Gm47908,nan
1110002L01Rik,nan
Gm19582,nan
Olfr976,GA_x6K02T2PVTD-33657378-33656440|MOR224-10
Trem3,nan
Csf1r-ps,Csfgr-ps
Chl1,LICAM2|close homolog of L1|A530023M13Rik|CALL
Gm9030,nan
AC140325.4,nan
Gm25687,nan
Gm24749,nan
Gm42999,nan
Gm7461,nan
Mgam,6030407P20Rik
Taf6,p80|80kDa|Taf2e
Gm13542,nan
Gm48253,nan
1700095A21Rik,nan
Gm44727,nan
Hbb-bh1,betaH1|beta Hl globin
Gm9725,nan
Nr1h3,LXR alpha|Unr1
Gm18690,nan
Gm28229,nan
Map1lc3a,1010001H21Rik|LC3|4922501H04Rik|LC3a
Ganab,GluII|G2an
Mboat4,GOAT|LOC234155
E330037G11Rik,nan
mt-Tt,tRNA-Thr|TrnT tRNA|tRNA
Gm23067,nan
Rnf13,Rzf|2010001H16Rik
Gm15896,nan
Gm25742,nan
Kctd11,Ren
Cd300ld3,Clm3|Lmir7|Cd300lh
A930036I15Rik,nan
Ptgdr,DP
Gm48846,nan
Gm14774,nan
Gna14,G alpha 14
Clca3a1,Clca1
0610038B21Rik,nan
Adamts2,hPCPNI|procollagen N-proteinase|a disintegrin and metalloproteinase with thrombospondin repeats|ADAM-TS2
Gbp2,nan
Gm38697,nan
Cdk1,p34<CDC2>|Cdc2|Cdc2a
Gm44140,nan
Gm23016,nan
Gm15818,nan
Gm15187,nan
Tpr,2610029M07Rik
C130060C02Rik,nan
Gm19694,nan
Gm43792,nan
Gpcpd1,2310032D16Rik|2310004G06Rik|Prei4
Mir1964,mmu-mir-1964
Sprr2a2,nan
Gm12385,nan
Vmn1r101,Gm4135
Gm15553,nan
Olfr1296-ps1,GA_x6K02T2Q125-72645504-72644566|MOR248-13P
Gm24284,nan
Slc22a8,Roct|OAT3|mOat3
Egln2,0610011A13Rik|SM-20|Phd1|Hif-p4h-1|Ier4
Gm13618,nan
Gm9570,nan
Prrxl1,Drg11
Usp35,LOC244144|LOC381901
Gm12934,nan
Tmem35a,Tmem35|9030603L14Rik
9930021J03Rik,Gm9832
Gm25925,nan
Gm25382,nan
Spin2-ps3,Gm14759
4933412L11Rik,nan
Rag2,Rag-2
Olfr1132,MOR177-1|GA_x6K02T2Q125-49140947-49140021
Gm20851,nan
Gm6023,nan
1700016D06Rik,GC14
Gm13470,nan
Grin3b,NR3B
Rhog,RhoG|2810426G09Rik|Sid10750|Arhg
Itgad,Cd11d
Gm8373,nan
Kif4,Kns4|D330050K22Rik|N-5 kinesin
Gm47623,nan
Gm49940,nan
Cds1,phosphatidate cytidylyltransferase|4833409J18Rik
Gm42716,nan
Gm26962,nan
Trbc2,BB153276|Tcrb-C2
Gm48233,nan
Gm22513,nan
Speer4c,4933431D05Rik|SPEER-4C
Sigirr,Sigirr|Tir8
Mir92-2,mir 92-2|mmu-mir-92-2|mmu-mir-92a-2|Mirn92-2
Olfr623,MOR1-4|GA_x6K02T2PBJ9-6384836-6383883
Gm12650,nan
Larp4b,Larp5|D13Wsu64e
Gm29197,nan
Gm33815,nan
Chaf1b,MPHOSPH7|CAF1P60|CAF-IP60|CAF1|CAF1A|CAF-I 60 kDa subunit|CAF-1 subunit B|2600017H24Rik
Gm14285,nan
Crygn,nan
Gm26048,nan
Gm94,LOC225443
Gm19445,nan
Retn,Xcp4|adipocyte-specific secretory factor|ADSF|rstn|Fizz3
Gm14647,nan
Tmem222,5730406H10Rik|D4Ertd196e
Angptl2,Arp2
Col8a2,nan
Gm15951,nan
Shld1,1110034G24Rik
Gm49433,nan
Gm49495,nan
Rnf165,LOC225743|G630064H08Rik|Ark2c|2900024M11Rik
Gm6913,nan
Gm14261,nan
Gm22352,nan
Gm9139,nan
Gm46146,nan
Gm22992,nan
Gm19089,nan
Gm24099,nan
Gm26007,nan
Gm5741,nan
n-R5s24,nan
Bcl3,Bcl-3
Olfr991-ps1,GA_x6K02T2Q125-46875255-46874358
Gm12006,nan
Gm6125,nan
Gm27283,nan
Gm42901,nan
Zfp572,4930472F24Rik
Gm42517,nan
Mir3112,mmu-mir-3112
Gm45391,nan
Pbdc1,2610029G23Rik
1700062C10Rik,nan
Gm18994,nan
2600014E21Rik,Gm38714|Gm13659
Apol7d,ENSMUSG00000073652|Gm15456
Ighv1-59,nan
Tsku,Lrrc54|9530051K01Rik
Gm18706,nan
Gm49973,nan
Gm50398,nan
Gm15327,nan
Pcnt,Pcnt2|m275Asp|m239Asp
Olfr857,MOR146-8P|GA_x6K02T2PVTD-13452606-13453535
Gm45756,nan
Gm18531,nan
Gm15475,nan
Gm7898,nan
Gm18784,nan
Gm16726,nan
Mpp6,P55t|Pals2
Gm3888,nan
Adamts17,AU023434
Tmem54,1810017F10Rik
Vstm2l,LOC277432
Gm49818,nan
Gm5385,nan
Cir1,CIR|1700023B02Rik|2810021A19Rik
Gm23538,nan
Prss55,4933401F05Rik
Gm44911,nan
Gm49253,nan
Gm21050,nan
Serinc3,TMS-1|Tde1|AIGP1|DIFF33
Gm29420,nan
Rcl1,RPCL1|2310040A02Rik|Rnac
Gm42864,nan
Gm37290,nan
Nanog-ps1,nanogPa
Gm9288,nan
Tecpr2,4930573I19Rik
Nt5c3b,2610037D24Rik|Nt5c3l|C330027I04Rik
Gm26973,nan
Gm23504,nan
Gm7363,nan
Gm37833,nan
Gm16234,nan
Gm29644,nan
Gm14908,nan
Zfr,C920030H05Rik
Gm12246,nan
Gm6878,nan
Gm43881,nan
A130048G24Rik,nan
Olfr926,MOR171-8|GA_x6K02T2PVTD-32573036-32573962
Rpl29-ps1,Rpl43-ps1
Gm10101,nan
Gm8244,nan
Gm22149,nan
Gm13080,nan
Zdhhc19,LOC245308
Slc35b3,PAPST2|4921526O06Rik
Gm33501,Gm45586
Gm49296,nan
Gm36827,nan
Gm25623,nan
Rpl30-ps5,nan
Gm17126,nan
Gm44946,nan
Gm28421,nan
Gm44686,nan
Gm28032,nan
Gm14321,nan
AC124606.1,nan
Gm13316,nan
Gm23844,nan
Gm35389,nan
Olfr1468-ps1,MOR202-21|GA_x6K02T2RE5P-3706029-3706953
Lrrc15,5430427N11Rik
Gm47177,nan
C1qtnf7,8430425G24Rik|CTRP7|5530401N20Rik
Gm47297,nan
Try4,Td|0910001B19Rik
n-R5s41,nan
Olfr58,IG6|GA_x6K02T2PVTD-13523015-13523944|MOR146-7P|MOR146-3
Gm48179,nan
Gm34250,nan
