CD,AlternativeName,gene_name,gene_synonym
CD30,Ber-H2|Ki-1,TNFRSF8,D1S166E|CD30|KI-1
CD31,PECAM-1|endoCAM|Plateletendothelialcelladhesionmolecule|PECA1,PECAM1,CD31
CD32a,FCgRII|Fc-greceptor2|FCGR2A|LowaffinityimmunoglobulingFcreceptorII,FCGR2A,FCGR2A1|FCGR2|FCG2|CDw32|CD32|IGFR2|CD32A
CD32b,FCG2|FCGR2B|IGFR2,FCGR2B,CD32|CD32B|FCG2|FCGR2
CD32c,FCG2|FCGR2C|IGFR2,FCGR2C,hFcRII-C|CD32C
CD33,gp67|SIGLEC-3|Sialicacid-bindingIg-likelectin3|MyeloidcellsurfaceantigenCD33,CD33,SIGLEC-3|SIGLEC3|p67|FLJ00391
CD34,gp105-120|Hematopoieticprogenitorcellantigen1(HPCA1),CD34,
CD35,CR1|C3b/C4breceptor|Complementreceptor1|ImmuneAdherencereceptor,CR1,KN|CD35
CD36,Plateletglycoprotein4|GlycoproteinIIIb(GpIIIb)|GlycoproteinIV(GPIV)|PASIV|Fattyacidtranslocase(FAT)|SCARB3|GP88,CD36,GP4|GP3B|SCARB3|FAT|GPIV
CD37,gp52-40|LeukocyteantigenCD37|Tet-raspanin-26|TSPAN26,CD37,TSPAN26
CD38,ADP-ribosylcyclase|T10|CyclicADP-ribosehydrolase1,CD38,
CD39,Ectonucleosidetriphosphatediphospho-hydrolase1(ENTPD1)|ATPdehydrogenase|NTPdehydrogenase-1,ENTPD1,CD39|ATPDase|SPG64|NTPDase-1
CD40,Bp50|MGC9013|TNFRSF5|Tumornecrosisfactorreceptorsuperfamilymember5,CD40,TNFRSF5|Bp50|p50
CD41,GPIIb|IntegrinaIIb|PlateletmembraneglycoproteinIIb|ITGA2B|Integrina2b|HumanPlateletAntigen-3(HPA-3),ITGA2B,CD41B|GP2B|PPP1R93|CD41
CD42a,GPIX|GP9|PlateletglycoproteinIX,GP9,GPIX|CD42a
CD42b,GPIba|PlateletglycoproteinIba,GP1BA,GPIbalpha|CD42b|GP1B
CD42c,GPIbb|PlateletglycoproteinIbb,GP1BB,CD42c|GPIbbeta
CD42d,GPV|PlateletglycoproteinV,GP5,CD42d
CD43,Sialophorin|Leukosialin|Galactoglycoprotein|SPN,SPN,GPL115|CD43|LSN
CD44,ECMRII|H-CAM|Pgp-1|Phagocyticglyco-proteinI|ExtracellularmatrixreceptorIII|GP90Lymphocytehoming/adhesionreceptor|Hyaluronatereceptor,CD44,Pgp1|CSPG8|MC56|MIC4|HCELL|MDU2|IN|MDU3|CD44R
CD45,LeukocyteCommonAntigen(LCA)|T200|B220|Ly5|ProteintyrosinephosphatasereceptortypeC(PTPRC),PTPRC,LCA|T200|CD45|GP180
CD45RA,PTPRC,PTPRC,LCA|T200|CD45|GP180
CD45RB,PTPRC,PTPRC,LCA|T200|CD45|GP180
CD45RC,PTPRC,PTPRC,LCA|T200|CD45|GP180
CD45RO,,,
CD46,MembraneCofactorProtein(MCP)|Tropho-blastleukocytecommonantigen|TRA2.10,CD46,MCP|TRA2.10|MIC10|TLX|MGC26544
CD47,gp42|IAP|OA3|Neurophilin|MER6,CD47,MER6|OA3|IAP
CD48,Blast-1|Hulym3|BCM-1|OX-45|MEM-102,CD48,mCD48|BCM1|SLAMF2|hCD48|BLAST
CD49a,VLA-1a|Integrina1,ITGA1,CD49a|VLA1
CD49b,VLA-2a|Integrina2|gPIa,ITGA2,CD49B
CD49c,VLA-3a|Integrina3|GAPB3|GalactoproteinB3|MSK18|VeryCommonAntigen-2(VCA-2),ITGA3,CD49c|MSK18|GAP-B3|VLA3a|VCA-2
CD49d,VLA-4a|Integrina4,ITGA4,CD49D
CD49e,VLA-5a|Integrina5|Fibronectinreceptor,ITGA5,CD49e|FNRA
CD49f,VLA-6a|Integrina6|gpI,ITGA6,CD49f
CD50,ICAM-3,ICAM3,CDW50|ICAM-R|CD50
CD51,Integrinav|VNR-a|Vitronectin-Ra,ITGAV,MSK8|VTNR|VNRA|CD51
CD52,CAMPATH-1|HE5|EpididymalsecretoryproteinE52,CD52,CDW52|EDDM5|HE5
CD53,MOX44|TSPAN25|Tetraspanin-25,CD53,MOX44|TSPAN25
CD54,ICAM-1,ICAM1,BB2|CD54
CD55,DecayAcceleratingFactorforComplement(DAF),CD55,DAF|TC|CROM|CR
CD56,Leu-19|NKH-1|NeuralCellAdhesionMolecule(NCAM),NCAM1,NCAM|CD56
CD57,HNK1|Leu-7|b-1|3-glucuronyltransferase1|GlucuronosyltransferaseP|galactosylgalactosyl-xylosylprotein3-b-glucuronosyltransferase1,B3GAT1,NK-1|LEU7|CD57|HNK-1|GlcAT-P
CD58,LFA-3,CD58,LFA3
CD59,1F5Ag|H19|Protectin|MACIF|MIRL|P-18,CD59,p18-20|MSK21|MIN1|EL32|EJ30|MIC11|MIN3|MIN2|G344|16.3A5|EJ16
CD60a,GD3,,
CD61,GPIIIa|Integrinb3,ITGB3,GP3A|CD61|GPIIIa
CD62E,E-Selectin|ELAM-1|LECAM-2,SELE,CD62E|ELAM1|ESEL|ELAM
CD62L,L-Selectin|LAM-1|LECAM-1|MEL-14|Leu8|TQ1,SELL,Leu-8|hLHRc|LSEL|LAM1|Lyam-1|CD62L|LYAM1|LNHR|LAM-1|PLNHR
CD62P,P-Selectin|GMP-140|PADGEM,SELP,PADGEM|CD62P|PSEL|GMP140|CD62|GRMP
CD63,LIMP|MLA1|gp55|NGA|LAMP-3|ME491|OMA81H|TSPAN30|Granulophysin|Mela-noma1antigen,CD63,ME491|TSPAN30|MLA1
CD64a,FcgRI|Fc-gReceptor1|Highaffinityimmuno-globulingFcReceptorI|FcgRIA,FCGR1A,CD64A|CD64
CD65,Ceramide-dodecasaccharide|VIM2|Fucogan-glioside(TypeII),,
CD65s,Sialylatedpoly-N-acetyllactosamine|Sialylated-CD65|VIM2,,
CD66a,CD66|NCA-160|BGP(Biliaryglcoprotein)|BGP1|BGPI|CEACAM1,CEACAM1,CD66a|BGP|BGP1
CD66b,CD67|CGM6|NCA-95|CEACAM8,CEACAM8,CGM6|CD66b
CD66c,NCA|NCA-50/90|CEAL|CEACAM6,CEACAM6,NCA|CD66c
CD66d,CGM1|CEACAM3,CEACAM3,CD66d|CGM1
CD66e,CEACEACAM5,CEACAM5,CD66e|CEA
CD66f,B1G1|CD66f|DHFRP2|FLJ90598|FLJ90654|PBG1|PSBG1|PSGGA|PSGIIA|SP1SP-1|PSBG1|B1G1|PBG1|PSGGA,PSG1,CD66f|PBG1|PSBG1|PSGGA
CD68,gp110|Macrosialin|SCARD1,CD68,DKFZp686M18236|SCARD1|GP110|macrosialin|LAMP4
CD69,AIM|EA1|MLR3|gp34/28|VEA|CLEC2C|BL-AP26,CD69,CLEC2C
CD70,TNFSF7|CD27LG|CD27L|Ki-24,CD70,CD27L|CD27LG|TNFSF7
CD71,TFRC|T9|Transferrinreceptor|TFR|TRFR,TFRC,TFR1|CD71|p90
CD72,Ly-19.2|Ly-32.2|Lyb2,CD72,CD72b|LYB2
CD73,Ecto-5’-nuclotidase|NT5E|E5NT|NT5|NTE|eN|eNT,NT5E,CALJA|CD73|NT5|eNT|eN
CD74,DHLAG|HLADG|Ia-g|li|invariantchain,CD74,DHLAG
CD75,ST6GAL1|MGC48859|SIAT1|ST6GALL|ST6N|ST6b-Galactosamidea-2|6-sialyltranferase|Sialo-maskedlactosamine|Carbohydrateofa2|6sialyltransferase,ST6GAL1,SIAT1
CD75S,a2|6Sialylatedlactosamine,SGCA,SCARMD1|adhalin|A2|DMDA2|ADL|LGMD2D
CD77,A14GALT(a1|4-Galactosyltransferase)|A4GALT1|Gb3S|P(k)|P1|PKA4GALT|Pkanti-gen|BLA|CTH/Gb3A4GALT1|Gb3S|P(k)|P1|PK,A4GALT,A14GALT|Gb3S|P1|P(k)
CD79a,IGA(Immunoglobulin-associateda)|MB-1,CD79A,MB-1|IGA
CD79b,IGB(Immunoglobulin-associatedb)|B29,CD79B,IGB|B29
CD80,CD28LG|CD28LG1|LAB7|B7|B7-1|BB1,CD80,B7.1|CD28LG|CD28LG1|B7-1
CD81,TAPA1|S5.7,CD81,TAPA-1|TSPAN28|TAPA1
CD82,4F9|C33|IA4|KAI1|R2|ST6|SAR2|GR15,CD82,TSPAN27|IA4|KAI1|ST6|R2
CD83,HB15|BL11,CD83,BL11|HB15
CD84,LY9B|SLAMF5|p75|GR6|hly9-b,CD84,mCD84|hCD84|SLAMF5
CD85A,ILT5|LIR3|HL9|LILRB3(Leukocyteimmu-noglobulin-likereceptor|subfamilyB(withTMandITIMdomains)|member3|LIR-3|MGC138403|PIRB|XXbac-BCX105G6.7,LILRB3,LIR-3|PIRB|HL9|LIR3|CD85a|ILT5|PIR-B
CD85C,LILRB5(Leukocyteimmunoglobulin-likerecep-tor|subfamilyB)(withTMandITIMdomains)|member5|LIR8,LILRB5,LIR-8|CD85c|LIR8
CD85D*,LILRB2(Leukocyteimmunoglobulin-likerecep-tor|subfamilyB(withTMandITIMdomains)|member2|LILRB2|ILT4|LIR2|MIR10|MIR-10,LILRB2,LIR2|ILT4|MIR-10|LIR-2|MIR10|CD85d
CD85E,LILRA3(Leukocyteimmunoglobulin-likerecep-tor|subfamilyA(withoutTMdomain)|member3|HM31|HM43|ILT6|LIR-4|LIR4|e3,LILRA3,ILT-6|LIR-4|HM43|CD85E|HM31|LIR4|ILT6
CD85F,XXbac-BCX403H19.2|CD85|CD85F|LIR9|ILT11|LILRB7(Leukocyteimmunoglobulin-likereceptor|subfamilyB(withTMandITIMdomains)|member7,LILRA5,CD85f|LILRB7|ILT11|LIR9|CD85
CD85G,LILRA4(Leukocyteimmunoglobulin-likerecep-tor|subfamilyA(withTMdomain)|member4|ILT7|MGC129597|MGC129598,LILRA4,CD85g|ILT7
CD85H,LILRA2(Leukocyteimmunoglobulin-likerecep-tor|subfamilyA(withTMdomain)|member2|ILT1|LIR7|LIR-7|XXbac-BCX85G21.2|ILT-1,LILRA2,LIR-7|CD85h|LIR7|ILT1
CD85I,LILRA1(Leukocyteimmunoglobulin-likerecep-tor)|subfamilyA(withTMdomain)|member1|LIR-6|LIR6|MGC126563,LILRA1,LIR-6|CD85i|LIR6
CD85J*,LILRB1(Leukocyteimmunoglobulin-likerecep-tor|subfamilyB(withTMandITIMdomains)|member1|FLJ37515|ILT2|LIR-1|LIR1|MIR-7|MIR7,LILRB1,LIR1|LIR-1|PIRB|ILT2|CD85j|MIR-7|PIR-B|CD85
CD85K*,LILRB4(Leukocyteimmunoglobulin-likerecep-tor|subfamilyB(withTMandITIMdomains)|member4|ILT3|LIR-5|HM18|LIR5|LILRB5,LILRB4,CD85k|LIR-5|ILT3|HM18|LIR5
CD86,B7-2/B70|CD28LG2|LAB72|MGC34413,CD86,B7.2|B7-2|CD28LG2
CD87,Upar|PLAUR|URKR,PLAUR,UPAR|CD87|URKR
CD88,C5R1|C5aR|C5AR|C5A,C5AR1,CD88|C5AR|C5R1|C5A
CD89,FCAR,FCAR,CD89
CD90,Thy-1,THY1,CD90
CD91,LRP1|a2M-R|a2MR|APOER|APR|LRP,LRP1,LRP|APOER|CD91|A2MR|APR|LRP1A|IGFBP3R1|IGFBP-3R
CD92,SLC44A1|CTL1|CHTL1|RP11-287A8.1|p70,SLC44A1,CTL1|CDW92|CD92|CHTL1
CD93,C1QR1|C1qRP|MXRA4|C1qR(P)|Dj737e23.1|GR11,CD93,ECSM3|MXRA4|CDw93|C1QR1|C1qR(P)|dJ737E23.1|C1qRP
CD94,KLRD1|Kp43,KLRD1,CD94
CD95,CD178|FASLG|APO-1|FAS|TNFRSF6|CD95L|APT1LG1|APT1|FAS1|FASTM|ALPS1A|TNFSF6|FASL,FAS,APO-1|FAS1|TNFRSF6|CD95|APT1
CD96,TACTILE|MGC22596,CD96,TACTILE
CD97,TM&LN1|BL-KDD/F12,ADGRE5,TM7LN1|CD97
CD98,SLC3A2|4F2|4F2HC|4T2HC|MDU1|NACAE|FRP-1|RL-388,SLC7A5,E16|CD98|MPE16|D16S469E|LAT1
CD99,MIC2|E2antigen|MIC2X|MIC2Y|HBA71|MSK5X,CD99,MIC2
CD99R,CD99Mabrestricted,,
CD100,SEMAJ|coll-4|C9orf164|FLJ33485|FLJ34282|FLJ39737|FLJ46484|M-sema-G|MGC169138|MGC169141|SEMA4D|SEMAJ,SEMA4D,coll-4|CD100|FLJ39737|C9orf164|SEMAJ
CD101,IGSF2|P126|V7|BA27|BPC#4|P126|V7-LSB,CD101,V7|IGSF2
CD102,ICAM-2|Ly60,ICAM2,CD102
CD103,HML-1|IntegrinaE|ITGAE|OX62|HML1,ITGAE,HUMINAE|CD103
CD104,Integrinb4|TSP1180|ITGB4|TSP-180,ITGB4,CD104
CD105,Endoglin|HHT1|ORW|SH-2,ENG,ORW1|END|ORW|CD105|HHT1
CD106,VCAM-1|INCAM-100,VCAM1,CD106
CD107a,LAMP-1|LAMPA|CD107a|LGP120,LAMP1,CD107a
CD107b,LAMP-2|LAMPB,LAMP2,CD107b
CD108,SEMA7A|JMHbloodgroupantigen,SEMA7A,H-Sema-L|CD108|SEMAL
CD109,8A3|E1237D1|150kDTGF-b-1-bindingprotein|Platelet-specificGovantigen,CD109,FLJ38569|CPAMD7|DKFZp762L1111
CD110,TPO-R|MPL|C-MPL,MPL,TPOR|THPOR|CD110
CD111,PVRL1|HveC|PRR1|Nectin1|HIgR|CLPED1,NECTIN1,OFC7|CLPED1|PVRL1|HVEC|ED4|CD111|SK-12|HIgR|PRR1|PVRR1|PRR
CD112,HveB|PRR2|PVRL2|Nectin2,NECTIN2,PVRR2|PVRL2|CD112|PRR2|HVEB
CD113,PVRL3|Nectin3|PRR3,NECTIN3,PPR3|PVRR3|nectin-3|CDw113|PVRL3|DKFZP566B0846|CD113
CD114,CSF3R|G-CSFR|HG-CSFR,CSF3R,CD114|GCSFR
CD115,c-fms|CSF-1R|M-CSFR|FIM2|FMS,CSF1R,CSFR|FMS|C-FMS|CD115
CD116,GM-CSFRa|CDw116|CSF2R|CSF2RAX|CSF2RAY|CSF2RX|CSF2RY|GM-CSF-R-a|GMCSFR|GMR|MGC3848|MGC4838,CSF2RA,alphaGMR|CD116|CSF2R
CD117,c-KIT|SCFR|PBT,KIT,SCFR|PBT|C-Kit|CD117
CD118,LIFR|gp190|SJS2|STWS|SWS,LIFR,CD118
CD119,IFNgR|IFNgRa,IFNGR1,CD119|IFNGR
CD120a,CD120a|FPF|MGC19588|TBP1|TNF-R|TNF-R-I|TNF-R55|TNFAR|TNFR1|TNFR55|TNFR60|p55|p55-R|p60,TNFRSF1A,TNFAR|TNF-R|CD120a|TNFR1|TNF-R-I|TNF-R55|TNFR60
CD120b,TNFRII|p75|TNFRp80,TNFRSF1B,CD120b|TNF-R75|TNF-R-II|TNFBR|TNFR80|p75|TNFR2
CD121a,Type1IL-1R|CD121A|D2S1473|IL-1R-a|IL1R|IL1RA|P80,IL1R1,IL1RA|IL1R|CD121A|D2S1473
CD121b,Type2IL-1R,IL1R2,IL1RB|CD121b
CD122,IL2Rb|p70-75,IL2RB,IL15RB|CD122
CD123,CD123|IL3R|IL3RAY|IL3RX|IL3RY|MGC34174|hIL-3Ra,IL3RA,CD123
CD124,IL-4Ra,IL4R,CD124
CD125,IL-5Ra,IL5RA,CD125|CDw125|IL5R
CD126,IL-6Ra,IL6R,CD126
CD127,p90|IL-7R|IL-7Ra,IL7R,CD127|IL7RA
CD129,IL-9Ra,IL9R,CD129
CD130,gp130|IL6ST|IL6-borCD130,IL6ST,sGP130|GP130|CD130
CD131,CSF2RB|IL3RB|IL5RB|CDw131,CSF2RB,IL3RB|IL5RB|CD131|betaGMR
CD132,Commongchain|IL-2Rg,IL2RG,CIDX|IMD4|SCIDX1|CD132
CD133,AC133|PROML1|Prominin1|Hematopoieticstemcellantigen,PROM1,CD133|RP41|CORD12|STGD4|AC133|PROML1|MCDR2
CD134,OX40|TNFRSF4,TNFRSF4,ACT35|TXGP1L|CD134|OX40
CD135,Flt3|Flk2|STK1,FLT3,STK1|CD135|FLK2
CD136,MSP-R|RON|p158-ron,MST1R,SEA|PTK8|RON|CDw136|CD136
CD137,4-1BB|ILA|TNFRSF9,TNFRSF9,ILA|4-1BB|CD137
CD138,Syndecan-1|Heparansulfateproteoglycan,SDC1,SYND1|SDC|syndecan|CD138
CD139,None,,
CD140a,PDGFaReceptor,PDGFRA,CD140a|GAS9|PDGFR2
CD140b,PDGFbReceptor,PDGFRB,PDGFR|PDGFR1|JTK12|CD140b
CD141,Thrombomodulin|Fetomodulin,THBD,CD141
CD142,Tissuefactor|Thromboplastin|F3,F3,CD142|TF
CD143,ACE|PeptidyldipeptidaseA|KininaseII|DCP|DCP1,ACE,DCP1|CD143|ACE1
CD144,VE-Cadherin|Cadherin-5,CDH5,7B4|CD144
CDw145,None,,
CD146,Muc18|S-endo|MCAM|Mel-CAM,MCAM,CD146|HEMCAM|METCAM|MUC18|MelCAM
CD147,Basigin|EMMPRIN|M6|OX47|TCSF,BSG,OK|CD147|EMPRIN|EMMPRIN
CD148,HPTP-η|p260|DEP-1|SCC1,PTPRJ,CD148|DEP1|HPTPeta
CD150,SLAM|IPO-3,SLAMF1,CD150|SLAM
CD151,PETA-3|SFA-1,CD151,SFA-1|TSPAN24|PETA-3|RAPH
CD152,CTLA-4,CTLA4,CELIAC3|CD|CD152|IDDM12|GSE|CTLA-4
CD153,CD30L|TNSF8,TNFSF8,CD30LG|CD153
CD154,CD40L|gp39|TRAP-1|T-BAM|IMD3,CD40LG,CD40L|TRAP|HIGM1|TNFSF5|IMD3|gp39|CD154|hCD40L
CD155,PVR|PVS|TAGE4|HVED,PVR,NECL5|CD155|Tage4|Necl-5|HVED|PVS
CD156a,CD156|ADAM8|MS2,ADAM8,MS2|CD156A|CD156
CD156b,TACE|ADAM17|cSVP,ADAM17,TACE|cSVP|CD156B
CD156C,ADAM10|MADM|kuz,ADAM10,kuz|CD156C|MADM|HsT18717
CD157,Mo5|BST-1,BST1,CD157
CD158a,KIR2DL1|p58.1|NKAT1,KIR2DL1,cl-42|nkat1|CD158A|47.11|p58.1
CD158b1,KIR2DL2|p58.2|NKAT6,KIR2DL2,CD158k|cl-43|nkat6|CD158B1
CD158b2,KIR2DL3|p58.3|NKAT2,KIR2DL3,CD158B2|cl-6|nkat2a|nkat2b|nkat2|p58
CD158d,KIR2DL4|KIR103,KIR2DL4,103AS|CD158D|15.212
CD158e1/e2,KIR3DLI/S1|p70|NKAT3|NKB1,KIR3DL1,CD158e1/2|CD158E1|cl-11|cl-2|CD158e2|AMB11|nkat3|NKB1|NKB1B|KIR
CD158f,KIR2DL5,KIR2DL5A,KIR2DL5.1|CD158F|KIR2DL5
CD158g,KIR2DS5,KIR2DS5,nkat9|CD158G
CD158h,KIR2DS1|p50.1,KIR2DS1,CD158H|EB6ActII|EB6ActI
CD158i,KIR2DS4|p50.3,KIR2DS4,CD158I|KKA3|cl-39|nkat8
CD158j,KIR2DS2|p50.2,KIR2DS2,183ActI|CD158J|nkat5|cl-49
CD158k,KIR3DL2|p140,KIR3DL2,nkat4b|nkat4|nkat4a|cl-5|CD158K
CD159a,NKG2A,KLRC1,NKG2|NKG2-B|CD159a|NKG2-A
CD159c,NKG2C,KLRC2,NKG2-C|CD159c
CD160,BY55|NK1|NK28,CD160,BY55|NK28|NK1
CD161,NKR|NKRP1A,KLRB1,NKR-P1|NKR-P1A|hNKR-P1A|NKR|CD161|CLEC5B
CD162,PSGL-1,SELPLG,CD162|PSGL-1
CD163,M130|GHI/61|RM3/1,CD163,M130|SCARI1|MM130
CD164,MGC-24|MUC-24,CD164,MGC-24|MUC-24|DFNA66
CD165,AD2|gp37,APOE,AD2
CD166,ALCAM|KG-CAM|SC-1|BEN|DM-GRASP,ALCAM,CD166|MEMD
CD167a,DDR1|trkE|cak,DDR1,PTK3A|NTRK4|NEP|CD167|EDDR1|RTK6|CAK
CD168,RHAMM|IHABP|HMMR,HMMR,CD168|RHAMM
CD169,Sialoadhesin|Siglec-1,SIGLEC1,dJ1009E24.1|FLJ00051|CD169|SIGLEC-1|FLJ00055|sialoadhesin|FLJ32150|SN|FLJ00073
CD170,Siglec-5,SIGLEC5,SIGLEC-5|OB-BP2|CD33L2|CD170
CD171,L1CAM|HSAS|HSAS1|MASA|MIC5|N-CAML1|S10|SPG1|NILE,L1CAM,S10|HSAS1|SPG1|CD171|HSAS|MASA|MIC5
CD172a,BIT|MFR|MYD-1|P84|SHPS-1|SHPS1|SIRP|SIRPa|SIRPa2,SIRPA,SHPS-1|PTPNS1|SIRPalpha|SIRP|BIT|MYD-1|SHPS1|MFR|P84|CD172a|SIRP-ALPHA-1|SIRPalpha2
CD172b,SIRPb,SIRPB1,SIRP-BETA-1|CD172b
CD172g,SIRPg|SIRP-B2|bA77C3.1,SIRPG,CD172g|SIRPgamma|SIRPB2|SIRP-B2|bA77C3.1
CD173,BloodgroupHtype2|FUT1,FUT1,HSC|H
CD174,LewisY|FUT3|Les|FT3B,FUT3,LE|CD174
CD175,Tn,TNC,MGC167029|TN|DFNA56|HXB
CD175s,Sialyl-Tn(s-Tn),,
CD176,TFAntigen,,
CD177,NB1|HNA-2a|NB1gp|Neutrophil-specificantigen1|PRV1,CD177,HNA2A|PRV1|NB1
CD178,FasLigand|FASL|CD95L|TNFSF6|APT1LG1,FASLG,CD178|FasL|TNFSF6|APT1LG1
CD179a,VpreB|IGVPB|VPREB1,VPREB1,CD179A|VpreB
CD179b,lambda5|14.1|IGL5|IGGL1,IGLL1,CD179B|IGVPB|IGL5|14.1|IGLL
CD180,RP105|Bgp95|Ly64|Ly78|,CD180,LY64|Ly78|RP105
CD181,(formerlyCD128a)CXCR1|IL-8Ra,CXCR1,CKR-1|CDw128a|CD181|IL8RA|CMKAR1
CD182,(formerlyCD128b)CXCR2|IL-8Rb|CMKAR2|IL8R2,CXCR2,CMKAR2|CD182|IL8RB
CD183,CXCR3|GPR9|CKR-L2|CMKAR3|IP10|Mig-R|TAC,CXCR3,CKR-L2|CMKAR3|MigR|CD183|GPR9|IP10-R
CD184,CXCR4|NPY3R|Fusin|CMKAR4|LESTR|HM89|FB22|LCR1,CXCR4,HM89|fusin|NPY3R|NPYR|NPYY3R|LESTR|CD184|D2S201E|HSY3RR
CD185,CXCR5|BLR1|MDR15|MGC117347,CXCR5,MDR15|BLR1|CD185
CD186,CXCR6|STRL33|TYMSTR|BONZO,CXCR6,TYMSTR|BONZO|CD186|STRL33
CD191,CCR1|CKR1|CD191|CKR-1|HM145|CMKBR1|MIP1aR|SCYAR1,CCR1,CKR-1|CD191|MIP1aR|CMKBR1|SCYAR1
CD192,CCR2|CKR2|CCR2A|CCR2B|CKR2A|CKR2B|CMKBR2|MCP-1-R|CC-CKR-2|FLJ78302|MGC103828|MGC111760|MGC168006,CCR2,CC-CKR-2|FLJ78302|MCP-1-R|CMKBR2|CD192|CKR2
CD193,CCR3|CKR3|CMKBR3|CC-CKR-3|MGC102841,CCR3,CD193|CMKBR3|CKR3|CC-CKR-3
CD194,CCR4|CC-CKR-4|CKR4|CMKBR4|ChemR13|HGCN,CCR4,CKR4|ChemR13|CC-CKR-4|k5-5|CMKBR4|CD194
CD195,CCR5|CMKBR5|IDDM22|CC-CKR-5|FLJ78003,CCR5,CC-CKR-5|CD195|CKR5|IDDM22|CMKBR5|CKR-5
CD196,CCR6|BN-1|DCR2|DRY6|CKRL3|GPR29|CKR-L3|CMKBR6|GPRCY4|STRL22|CC-CKR-6,CCR6,CMKBR6|DRY-6|CD196|DCR2|GPR29|STRL22|BN-1|GPR-CY4|CKR-L3
CD197,CCR7(formerlyCDw197)|BLR2|EBI1|CMKBR7,CCR7,CDw197|EBI1|CMKBR7|CD197|BLR2
CDw198,CCR8|CKR-L1|CKRL1|CMKBR8|CMKBRL2|CY6|GPR-CY6|TER1,CCR8,CDw198|CMKBR8|TER1|CMKBRL2|CKR-L1|GPR-CY6|CY6
CDw199,CCR9|GPR28|GPR-9-6,CCR9,GPR-9-6|CDw199|GPR28
CD200,OX2|MRC|MOX1|MOX2,CD200,MOX1|MOX2|MRC|OX-2
CD201,EPCR|CCCA|CCD41|MGC23024|bA42O4.2|PROCR,PROCR,CCD41|EPCR|CD201
CD202b,TEK|Tie2|VMCM|TIE-2|VMCM1,TEK,VMCM1|TIE-2|CD202b|VMCM|TIE2
CD203c,PDNP3|B10|PDIb|E-NPP3,ENPP3,gp130RB13-6|B10|CD203c|PD-IBETA|PDNP3
CD204,MSR|SR-A|phSR1|phSR2|SCARA1|MSR1,MSR1,SCARA1|SR-AII|CD204|SR-AIII|SR-AI|SR-A
CD205,DEC-205|CLEC13B|GP200-MR6|LY75,LY75,CLEC13B|DEC-205|CD205
