CD,AlternativeName,gene_name,gene_synonym
CD109,,CD109,FLJ38569|CPAMD7|DKFZp762L1111
BTLA,,BTLA,BTLA1|CD272
CD134,,TNFRSF4,ACT35|TXGP1L|CD134|OX40
CD1d,,CD1D,
CD148,,PTPRJ,CD148|DEP1|HPTPeta
CD40,,CD40,TNFRSF5|Bp50|p50
CD66b,,CEACAM8,CGM6|CD66b
CD115,,CSF1R,CSFR|FMS|C-FMS|CD115
TRA-1-60-R,TRA160R,,
CD194,,CCR4,CKR4|ChemR13|CC-CKR-4|k5-5|CMKBR4|CD194
CD84,,CD84,mCD84|hCD84|SLAMF5
NTB-A,NTBA,SLAMF6,SF2000|NTB-A|CD352|KALI|KALIb|NTBA|Ly108
CD45RO,,,
TCRa,,,
TCRb,,,
CD11b,,ITGAM,CR3A|MAC-1|CD11B
MSC,W3D5,MSC,ABF-1|bHLHa22
Notch3,,NOTCH3,CADASIL|CASIL
CD103,,ITGAE,HUMINAE|CD103
CD337,NKp30,NCR3,NKp30|1C7|LY117|CD337
CD49e,,ITGA5,CD49e|FNRA
CD245,p220|240,EIF4G1,p220|EIF4F|PARK18|EIF4G
SSEA-4,SSEA4,,
CD107a,LAMP-1,LAMP1,CD107a
b2-micro-globulin,b2microglobulin,,
CD334,FGFR4,FGFR4,CD334|JTK2
CD59,,CD59,p18-20|MSK21|MIN1|EL32|EJ30|MIC11|MIN3|MIN2|G344|16.3A5|EJ16
CD213a2,,IL13RA2,IL-13R|CD213a2|IL13BP|CT19
CD151,,CD151,SFA-1|TSPAN24|PETA-3|RAPH
CD276,,CD276,B7RP-2|B7-H3|B7H3
XCR1,,XCR1,CCXCR1|GPR5
CD102,,ICAM2,CD102
EphA2,,EPHA2,ECK
CD244,2B4,CD244,NAIL|NKR2B4|2B4|Nmrk|SLAMF4
CD9,,CD9,MIC3|TSPAN29|BA2|P24|MRP-1
CX3CR1,,CX3CR1,GPR13|CMKDR1|CCRL1|V28|CMKBRL1
CD33,,CD33,SIGLEC-3|SIGLEC3|p67|FLJ00391
CD278,ICOS,ICOS,AILIM|CD278
CD85h,ILT1,LILRA2,LIR-7|CD85h|LIR7|ILT1
DLL1,,DLL1,
IgD,,,
integrinb7,,,
CD15,,FUT4,CD15|FCT3A|ELFT|FUC-TIV
CD301,,CLEC10A,CLECSF14|CD301|HML|HML2|CLECSF13
CD365,Tim-1,HAVCR1,KIM1|CD365|HAVCR-1|HAVCR|TIMD1|TIM1|TIM-1
CD221,IGF-1R,IGF1R,IGFIR|IGFR|MGC18216|JTK13|CD221
Siglec-8,Siglec8,SIGLEC8,MGC59785|SAF2|SIGLEC8L|SIGLEC-8
DR3,TRAMP,TNFRSF25,TRAMP|DR3|WSL-1|TNFRSF12|APO-3|TR3|LARD|WSL-LR|DDR3
GPR83,,GPR83,GPR72
CD58,,CD58,LFA3
CD360,,IL21R,CD360
CD284,TLR4,TLR4,ARMD10|hToll|TLR-4|CD284
CD96,,CD96,TACTILE
CD70,,CD70,CD27L|CD27LG|TNFSF7
CD23,,FCER2,CD23A|CLEC4J|CD23|FCE2
CD2,,CD2,SRBC
CD62E,,SELE,CD62E|ELAM1|ESEL|ELAM
CD13,,ANPEP,CD13|p150|gp150|PEPN|LAP1
CD138,,SDC1,SYND1|SDC|syndecan|CD138
CD31,,PECAM1,CD31
CD35,,CR1,KN|CD35
CD73,,NT5E,CALJA|CD73|NT5|eNT|eN
CD105,,ENG,ORW1|END|ORW|CD105|HHT1
CD152,CTLA-4,CTLA4,CELIAC3|CD|CD152|IDDM12|GSE|CTLA-4
CD370,CLEC9A|DNGR1,CLEC9A,DNGR-1|CD370|UNQ9341|HEEE9341
Siglec-9,Siglec9,SIGLEC9,CD329
CD45,,PTPRC,LCA|T200|CD45|GP180
CD16,,FCGR3A,CD16a|CD16|FCG3|FCGR3
CD49b,,ITGA2,CD49B
CD119,IFN-gRachain,IFNGR1,CD119|IFNGR
CD39,,ENTPD1,CD39|ATPDase|SPG64|NTPDase-1
CD344,Frizzled-4,FZD4,CD344|EVR1
CD282,TLR2,TLR2,TIL4|CD282
CD32,,FCGR2B,CD32|CD32B|FCG2|FCGR2
CD38,,CD38,
TCRg,,,
TCRd,,,
CD235ab,,,
CD52,,CD52,CDW52|EDDM5|HE5
CD111,,NECTIN1,OFC7|CLPED1|PVRL1|HVEC|ED4|CD111|SK-12|HIgR|PRR1|PVRR1|PRR
CD95,,FAS,APO-1|FAS1|TNFRSF6|CD95|APT1
LymphotoxinbReceptor,LT-bR,,
CD199,,,
LY6G6D,,LY6G6D,NG25|G6D|C6orf23|MEGT1|Ly6-D
CD161,,KLRB1,NKR-P1|NKR-P1A|hNKR-P1A|NKR|CD161|CLEC5B
CD197,CCR7,CCR7,CDw197|EBI1|CMKBR7|CD197|BLR2
CD371,CLEC12A,CLEC12A,CLL-1|MICL|DCAL-2|CD371
CD129,IL-9R,IL9R,CD129
GARP,LRRC32,LRRC32,GARP|D11S833E
CD43,,SPN,GPL115|CD43|LSN
HLA-DR,HLADR,,
CD318,,CDCP1,CD318|SIMA135
CD231,TALLA,TSPAN7,MRX58|MXS1|A15|TM4SF2|TALLA-1|CD231|DXS1692E
CD170,Siglec-5,SIGLEC5,SIGLEC-5|OB-BP2|CD33L2|CD170
CD87,,PLAUR,UPAR|CD87|URKR
LAP,,CENPJ,Sas-4|LIP1|MCPH6|CPAP|LAP|BM032|SCKL4|SASS4
CD137L,4-1BBLigand,,
FceRIa,,,
CD205,,LY75,CLEC13B|DEC-205|CD205
CD160,,CD160,BY55|NK28|NK1
CD62L,,SELL,Leu-8|hLHRc|LSEL|LAM1|Lyam-1|CD62L|LYAM1|LNHR|LAM-1|PLNHR
Iglightchaink,,,
CD135,,FLT3,STK1|CD135|FLK2
Jagged2,,,
Notch4,,NOTCH4,INT3
CD169,,SIGLEC1,dJ1009E24.1|FLJ00051|CD169|SIGLEC-1|FLJ00055|sialoadhesin|FLJ32150|SN|FLJ00073
CD179a,,VPREB1,CD179A|VpreB
CD8a,,CD8A,CD8
NKp80,,KLRF1,NKp80|CLEC5C
CD202b,Tie2|Tek,TEK,VMCM1|TIE-2|CD202b|VMCM|TIE2
CD213a1,,IL13RA1,CD213a1|IL-13Ra|NR4
CD354,TREM-1,TREM1,CD354|TREM-1
CD336,NKp44,NCR2,LY95|NK-p44|CD336
CD83,,CD83,BL11|HB15
CD223,,LAG3,CD223
CD254,,TNFSF11,RANKL|OPGL|TRANCE|CD254|ODF
IgM,,,
IL-28RA,IL28RA,IFNLR1,CRF2/12|IL-28R1|IL28RA|IFNLR
CD74,,CD74,DHLAG
SUSD2,,SUSD2,W5C5|BK65A6.2|FLJ22778
TRA-2-49,TRA249,,
CD227,,MUC1,MCKD|ADMCKD|PUM|MCKD1|MCD|CD227|ADMCKD1|PEM
CD314,NKG2D,KLRK1,CD314|NKG2D|NKG2-D|D12S2489E|KLR
TM4SF20,,TM4SF20,TCCE518|FLJ22800
CD46,,CD46,MCP|TRA2.10|MIC10|TLX|MGC26544
Tim-4,Tim4,TIMD4,TIM4
CD54,,ICAM1,BB2|CD54
CD20,,MS4A1,B1|CD20|MS4A2|Bp35
CD71,,TFRC,TFR1|CD71|p90
TIGIT,,TIGIT,DKFZp667A205|VSTM3|VSIG9|FLJ39873
VEGFR3,,FLT4,PCL|VEGFR3
CD3,,,
CD252,OX40L,TNFSF4,OX-40L|TXGP1|CD252|gp34
CD317,,BST2,tetherin|CD317
CXCR7,,ACKR3,RDC1|CXCR7|GPR159|CMKOR1
PSMA,,FOLH1,GCP2|PSM|FOLH|NAALAD1|NAALAdase|PSMA|GCPII
CD140a,,PDGFRA,CD140a|GAS9|PDGFR2
DeltaOpioidReceptor,,,
CD1a,,CD1A,CD1
CD340,erbB2|HER-2,ERBB2,CD340|HER2|NEU|HER-2|NGL
CD183,,CXCR3,CKR-L2|CMKAR3|MigR|CD183|GPR9|IP10-R
CD49c,,ITGA3,CD49c|MSK18|GAP-B3|VLA3a|VCA-2
CD243,,ABCB1,ABC20|PGY1|MDR1|CD243|P-gp|GP170|CLCS
CD123,,IL3RA,CD123
Integrina9b1,,,
CD36,,CD36,GP4|GP3B|SCARB3|FAT|GPIV
CD200R,,CD200R1,CD200R|MOX2R|HCRTR2|OX2R
CD25,,ISG20,CD25|HEM45
DLL4,,DLL4,
CD368,CLEC4D,CLEC4D,CLECSF8|MCL|Dectin-3|CD368|Mpcl
CD61,,ITGB3,GP3A|CD61|GPIIIa
IL-21R,IL21R,IL21R,CD360
CD275,B7-H2|B7-RP1|ICOSL,ICOSLG,B7RP-1|ICOS-L|KIAA0653|B7H2|B7RP1|GL50|B7-H2|B7h|ICOSL|CD275
CD21,,CR2,C3DR|CD21
CD266,Fn14|TWEAKReceptor,TNFRSF12A,CD266|FN14|TweakR
CD179b,,IGLL1,CD179B|IGVPB|IGL5|14.1|IGLL
CD304,,NRP1,VEGF165R|CD304|NRP
CD195,CCR5,CCR5,CC-CKR-5|CD195|CKR5|IDDM22|CMKBR5|CKR-5
CD200,,CD200,MOX1|MOX2|MRC|OX-2
Siglec-10,Siglec10,SIGLEC10,SIGLEC-10|SLG2|MGC126774|PRO940
CD181,CXCR1,CXCR1,CKR-1|CDw128a|CD181|IL8RA|CMKAR1
CD220,,INSR,CD220
CCRL2,,CCRL2,ACKR5|CKRX|CRAM-B|HCR|CRAM-A
CD85g,ILT7,LILRA4,CD85g|ILT7
CD126,IL-6Ra,IL6R,CD126
CD156c,ADAM10,ADAM10,kuz|CD156C|MADM|HsT18717
MICA,,MICA,PERB11.1
MICB,,MICB,PERB11.2
CD162,,SELPLG,CD162|PSGL-1
TRA-2-54,TRA254,,
CD268,BAFF-R|BAFFR,TNFRSF13C,CD268|BAFFR
GPR56,,ADGRG1,TM7XN1|TM7LN4|GPR56
CD182,CXCR2,CXCR2,CMKAR2|CD182|IL8RB
CD117,c-kit,KIT,SCFR|PBT|C-Kit|CD117
CCX-CKR,CCXCKR,ACKR4,CCBP2|VSHK1|CCR11|CCRL1|CCX-CKR|PPR1
CD155,PVR,PVR,NECL5|CD155|Tage4|Necl-5|HVED|PVS
CD230,Prion,PRNP,CJD|PRIP|AltPrP|GSS|CD230|PRP
Notch1,,NOTCH1,TAN1
CD45RA,,,
CD172g,SIRP,SIRPG,CD172g|SIRPgamma|SIRPB2|SIRP-B2|bA77C3.1
HLA-A|B|C,HLAA|B|C,PPIB,B|PPIase|SCYLP|OI9|CYPB|CYP-S1
CD100,,SEMA4D,coll-4|CD100|FLJ39737|C9orf164|SEMAJ
CD132,,IL2RG,CIDX|IMD4|SCIDX1|CD132
CD133,,PROM1,CD133|RP41|CORD12|STGD4|AC133|PROML1|MCDR2
CD1c,,CD1C,CD1
CD80,,CD80,B7.1|CD28LG|CD28LG1|B7-1
DopamineReceptorD1,DRD1,DRD1,
MSCandNPC,W4A5,,
CD93,,CD93,ECSM3|MXRA4|CDw93|C1QR1|C1qR(P)|dJ737E23.1|C1qRP
CD366,Tim-3,HAVCR2,FLJ14428|Tim-3|TIMD3|TIM3|CD366
CD19,,CD19,
B7-H4,B7H4,VTCN1,FLJ22418|B7x|B7H4|B7S1|B7-H4
ROR1,,ROR1,NTRKR1
CD193,CCR3,CCR3,CD193|CMKBR3|CKR3|CC-CKR-3
CD271,,NGFR,p75NTR|CD271|TNFRSF16
CD323,,,
IgGFc,,,
CD127,IL-7Ra,IL7R,CD127|IL7RA
CD82,,CD82,TSPAN27|IA4|KAI1|ST6|R2
CD85k,ILT3,LILRB4,CD85k|LIR-5|ILT3|HM18|LIR5
erbB3,,ERBB3,HER3|LCCS2
HER-3,HER3,ERBB3,HER3|LCCS2
MSCA-1,MSC|W8B2,MSC,ABF-1|bHLHa22
IFN-gRbchain,IFNgRbchain,,
CD290,,TLR10,CD290
CD69,,CD69,CLEC2C
SialylLewisX,,,
CD192,,CCR2,CC-CKR-2|FLJ78302|MCP-1-R|CMKBR2|CD192|CKR2
CD303,,CLEC4C,BDCA2|CD303|CLECSF7|CLECSF11|HECL|DLEC
CD217,,IL17RA,IL17R|hIL-17R|CD217|IL-17RA|CDw217
CD338,ABCG2,ABCG2,MXR|EST157481|ABCP|CD338|BCRP
CD274,B7-H1|PD-L1,CD274,B7-H1|PDL1|PDCD1LG1|PD-L1|B7H1|B7-H
EGFR,,EGFR,ERBB1|ERBB
CD140b,,PDGFRB,PDGFR|PDGFR1|JTK12|CD140b
CD92,,SLC44A1,CTL1|CDW92|CD92|CHTL1
CD85a,ILT5,LILRB3,LIR-3|PIRB|HL9|LIR3|CD85a|ILT5|PIR-B
CD49f,,ITGA6,CD49f
Ksp37,,TMEM72,KSP37|bA285G1.3|C10orf127
CD11c,,ITGAX,CD11C
CD357,GITR,TNFRSF18,AITR|CD357|GITR
CD22,,CD22,SIGLEC-2|SIGLEC2
APCDD1,,APCDD1,B7323
KLRG1,,KLRG1,2F1|MAFA-L|MAFA|CLEC15A
CD28,,CD28,
CD186,,CXCR6,TYMSTR|BONZO|CD186|STRL33
CD328,Siglec-7,SIGLEC7,p75/AIRM1|SIGLEC19P|CD328|SIGLECP2|SIGLEC-7|QA79
CD158b,KIR2DL2|KIR2DL3|NKAT2,KIR2DL2,CD158k|cl-43|nkat6|CD158B1
FPR3,,FPR3,FPRH1|FPRL2|RMLP-R-I|FMLPY
CD85j,ILT2,LILRB1,LIR1|LIR-1|PIRB|ILT2|CD85j|MIR-7|PIR-B|CD85
CD56,,NCAM1,NCAM|CD56
CD57,,B3GAT1,NK-1|LEU7|CD57|HNK-1|GlcAT-P
CD116,,CSF2RA,alphaGMR|CD116|CSF2R
CD203c,E-NPP3,ENPP3,gp130RB13-6|B10|CD203c|PD-IBETA|PDNP3
Cadherin11,,,
CD207,Langerin,CD207,Langerin|CLEC4K
CD120b,,TNFRSF1B,CD120b|TNF-R75|TNF-R-II|TNFBR|TNFR80|p75|TNFR2
CD50,ICAM-3,ICAM3,CDW50|ICAM-R|CD50
CD5,,CD5,LEU1|T1
CD41,,ITGA2B,CD41B|GP2B|PPP1R93|CD41
CD106,,VCAM1,CD106
CD48,,CD48,mCD48|BCM1|SLAMF2|hCD48|BLAST
CD178,Fas-L,FASLG,CD178|FasL|TNFSF6|APT1LG1
CD262,DR5|TRAIL-R2,TNFRSF10B,CD262|KILLER|TRAIL-R2|TRAILR2|TRICK2A|TRICKB|DR5
CD150,SLAM,SLAMF1,CD150|SLAM
CD158,,,
LOX-1,LOX1,OLR1,CLEC8A|LOX-1|SCARE1
CD144,,CDH5,7B4|CD144
CD154,,CD40LG,CD40L|TRAP|HIGM1|TNFSF5|IMD3|gp39|CD154|hCD40L
CCR8,,CCR8,CDw198|CMKBR8|TER1|CMKBRL2|CKR-L1|GPR-CY6|CY6
IL-15Ra,IL15Ra,IL15RA,CD215|IL-15RA
CD89,,FCAR,CD89
CD124,,IL4R,CD124
CD79b,,CD79B,IGB|B29
CD11a,,ITGAL,CD11A|LFA-1
CD209,DC-SIGN,CD209,CDSIGN|DC-SIGN1|CLEC4L|DC-SIGN
CD206,MMR,MRC1,CD206|CLEC13DL|CLEC13D|bA541I19.1|MRC1L1
Iglightchainλ,,,
MRGX2,,MRGPRX2,MRGX2
CD141,,THBD,CD141
TLT-2,TLT2,TREML2,FLJ13693|TLT2|dJ238O23.1|C6orf76
CD166,,ALCAM,CD166|MEMD
Notch2,,NOTCH2,
CD8,,CD8A,CD8
CD258,LIGHT,TNFSF14,LIGHT|LTg|HVEM-L|CD258
Siglec-7,Siglec7,SIGLEC7,p75/AIRM1|SIGLEC19P|CD328|SIGLECP2|SIGLEC-7|QA79
CD47,,CD47,MER6|OA3|IAP
CD255,TWEAK,TNFSF12,APO3L|DR3LG|TWEAK
