CD,AlternativeName,gene_name,gene_synonym
CD62L,,Sell,Lnhr|Lyam1|LECAM-1|Lyam-1|Ly-m22|CD62L|Ly-22|L-selectin
CD11b,,Itgam,CR3|Mac-1 alpha|Mac-1|Mac-1a|CD11b/CD18|Cd11b|complement component receptor 3 alpha|CD11B  (p170)|complement receptor type 3|F730045J24Rik|Ly-40
CD135,,Flt3,Flt-3|Flk-2|CD135|wmfl|Flk2
CD93,,Cd93,Ly68|C1qrp|AA4.1|C1qr1|6030404G09Rik
Notch4,,Notch4,Int3|N4|Int-3
Notch3,,Notch3,hpbk|N3
CD19,,Cd19,
CD59a,,Cd59a,protectin|Cd59
Tim-2,Tim2,Timd2,Tim2|TIM-2
CD103,,Itgae,alpha-E1|CD103
B7-H4,B7H4,Vtcn1,B7x|B7-H4
B220,,Ptprc,T200|B220|CD45|Lyt-4|Ly-5
CD49e,,Itga5,Cd49e|Fnra
CD169,,Siglec1,Siglec-1|Sn|CD169
DR3,,Tnfrsf25,TRAMP|Wsl|Tnfrsf12|DR3|WSL-1|APO-3|TR3|LARD|WSL-LR|DDR3
TLR4,CD284,Tlr4,Lps|Rasl2-8|lipopolysaccharide response
Ly-51,Ly51,Enpep,Ly-51|6030431M22Rik|APA|Ly51|aminopeptidase-A|Bp-1/6C3
CD8a,,Cd8a,Ly-35|Ly-B|Lyt-2|Ly-2
CD159a,,Klrc1,NKG2B|CD159a|NKG2A
Ly-6G,Ly6G,Ly6g,Gr1|Gr-1|Ly-6G
Ly-6C,Ly6C,Ly6c1,Ly-6C|Ly6c
XCR1,,Xcr1,GPR5|XCR1|C motif-1/lymphotactin receptor|Ccxcr1
CD276,,Cd276,6030411F23Rik|B7-H3|B7RP-2|B7h3
CD150,,Slamf1,CDw150|CD150|Slam|ESTM51|IPO-3
CD130,,Il6st,gp130|D13Ertd699e|CD130|5133400A03Rik
CD178,,Fasl,CD178|Fas-L|CD95L|APT1LG1|Fasl|Tnfsf6
CD226,,Cd226,DNAM-1|Pta1|TLiSA1|DNAM1
CD9,,Cd9,Tspan29
CX3CR1,,Cx3cr1,
CD126,,Il6ra,Il6r|CD126|IL-6R|IL-6 receptor alpha chain
CD146,,Mcam,1-gicerin|CD146|s-endo|Muc18|s-gicerin
CD117,,Kit,Gsfsow3|c-KIT|Steel Factor Receptor|belly-spot|SOW3|Dominant white spotting|Gsfsco5|SCO5|Tr-kit|SCO1|Gsfsco1|CD117
Mac-2,Mac2,Lgals3,L-34|gal3|galectin-3|Mac-2
CD69,,Cd69,VEA|AIM|5830438K24Rik
CD98,,Slc3a2,Mdu1|Mgp-2hc|Ly-m10|Cd98|4F2HC|Ly-10
SiglecH,,Siglech,Siglec-H|6430529G09Rik
CD83,,Cd83,
CD223,,Lag3,Ly66|LAG-3|CD223
GARP,,Lrrc32,D7H11S833E|D11S833Eh|Garp|EG434215
Ly108,,Slamf6,SF2000|NTB-A|KAL1|KAL1b|Ly108
DLL1,,Dll1,Delta1
IgD,,Ighd,IgD
IgM,,Ighm,Ig mu|Igh-M|Igh6|muH|IgM
CD16,,Fcgr3,CD16|Fcg receptor III|FcgammaRIII
CD32,,Fcgr2b,FcgammaRIIB|FcgRII|F630109E10Rik|Ly-17|Fcgr2|Fc gamma RIIB|Fcgr2a|CD32|Ly-m20|Fcr-2|Fc[g]RII|LyM-1|Fcr-3
CD195,,Ccr5,CD195|Cmkbr5
Ly-6D,Ly6D,Ly6d,Ly61|Ly-61|Thb
IL-23R,IL23R,Il23r,
CD107a,,Lamp1,Perk|CD107a|Lamp-1
CD147,,Bsg,5A11/Basigin|EMMPRIN|gp 42|HT-7|CD147|neurothelin
CD157,,Bst1,CD157|Bp3|Ly65|Bsta1|114/A10
CD64,,Fcgr1,FcgammaRI|CD64
CD122,,Il2rb,IL15Rbeta|Il-2Rbeta|IL-2/15Rbeta|CD122|IL-15Rbeta|IL-15 receptor beta chain
CD301b,,Mgl2,CD301b
MadCAM-1,MadCAM1,Madcam1,
CD140b,,Pdgfrb,Pdgfr|CD140b
MAIR-IV,MAIRIV,Cd300ld,Clm5|4732429D16Rik|Cd300ld1|MAIR-IV
CD172a,,Sirpa,SHPS-1|Bit|SIRP|P84|CD172a|Ptpns1
CD66a,,Ceacam1,CD66a|Hv2|Bgp|Cc1|Cea-7|mCEA1|mmCGM2|Cea7|Bgp1|C-CAM|Cea1|MHVR1|Hv-2|mmCGM1|Cea-1|Mhv-1
CD179a,VpreB,Vpreb1,Vpreb-1|CD179a
CD300LG,,Cd300lg,nepmucin|2310016B05Rik|Clm9|D11Ertd736e
Tim-4,Tim4,Timd4,B430010N18Rik|TIM-4|Tim4
ESAM,,Esam,W117m|2310008D05Rik
Ly-6G,Ly6G,Ly6g,Gr1|Gr-1|Ly-6G
CD54,,Icam1,Icam-1|Ly-47|MALA-2|CD54
NKG2D,,Klrk1,D6H12S2489E|Nkg2d|NKG2-D
CD11c,,Itgax,Cd11c|CD11C  (p150) alpha polypeptide
CD30,,Tnfrsf8,CD30
CD63,,Cd63,ME491|Tspan30
CD20,,Ms4a1,Ly-44|Cd20
CD94,,Klrd1,CD94
CD152,,Ctla4,Ly-56|Ctla-4|Cd152
NK-1.1,NK1.1,Klrb1c,Ly55c|Ly59|CD161|NKR-P1|Nk1|NK-RP1|Nk1.1|Nk-1.2|NK-1.1|NKR-P1C|Nkrp1-c|Ly-59|Nk-1
CD22,,Cd22,Lyb-8|Lyb8
CD71,,Tfrc,2610028K12Rik|E430033M20Rik|p90|CD71|Trfr|Mtvr-1|Mtvr1|TfR1
Galectin-9,Galectin9,Lgals9,gal-9|LGALS35|Lgals5|galectin-9
CD44,,Cd44,HERMES|Pgp-1|Ly-24
KLRG1,,Klrg1,2F1-Ag
TIGIT,,Tigit,Vstm3|ENSMUSG00000071552
CD3,,Cd3e,CD3epsilon|CD3|T3e
CD6,,Cd6,
SSEA-1,SSEA1,Fut4,3-fucosyl-N-acetyl-lactosamine epitope|Ssea1|SSEA-1|FAL|LeX|FucT-IV
CD28,,Cd28,
Ly-6A,Ly6A,Ly6a,Ly-6A.2|Ly-6A/E|Sca-1|Sca1|TAP|Ly-6E.1
Ly-6E,Ly6E,Ly6e,Tsa1|RIG-E|TSA-1|Sca-2|9804|Ly67
CD140a,,Pdgfra,CD140a|Pdgfr-2
CD2,,Cd2,Ly37|LFA-2|Ly-37
CD183,,Cxcr3,Cd183|Cxcr3|Cmkar3
CD155,,Pvr,Taa1|D7Ertd458e|Tage4|CD155|3830421F03Rik|mE4|necl-5
CD34,,Cd34,
CD123,,Il3ra,CD123|SUT-1|IL-3 receptor alpha chain
JAML,,Jaml,Amica1|LOC270152
CD96,,Cd96,Tactile|1700109I12Rik
CD274,,Cd274,PD-L1|B7-H1|Pdcd1lg1
CD121a,,Il1r1,CD121a|IL-iR|Il1r-1|IL-1 receptor alpha chain|IL-1R1
CD36,,Cd36,FAT|Scarb3|fatty acid translocase
CD51,,Itgav,alphav-integrin|CD51|D430040G12Rik|vitronectin receptor alpha polypeptide  (VNRA)|2610028E01Rik|1110004F14Rik
CD120b,,Tnfrsf1b,p75 TNFR|TNF-alphaR2|TNFalpha-R2|TNFRII|CD120b|TNF-R75|TNF-R-II|Tnfr2|TNFBR|TNFR80|TNF-R2|p75
CD70,,Cd70,Tnfsf7|CD27LG|Ki-24 antigen
CD23,,Fcer2a,low-affinity IgE receptor|CD23|FC epsilon RII|Fce2|Ly-42
CD41,,Itga2b,GP IIb|CD41|platelet glycoprotein IIb|GpIIb|alphaIIb
CD5,,Cd5,Ly-1|Ly-A|Lyt-1|Ly-12
CD200R,,Cd200r1,CD200R|Mox2r|OX2R
CD48,,Cd48,BLAST-1|BCM1|Bcm-1|Sgp-60
CD14,,Cd14,
DLL4,,Dll4,Delta4
CD106,,Vcam1,Vcam-1|CD106
CD25,,Il2ra,CD25|Il2r|Ly-43|IL-2R alpha chain
CD86,,Cd86,Ly58|Ly-58|B7.2|MB7-2|B70|B7-2|Cd28l2
Ly-6C,Ly6C,Ly6c1,Ly-6C|Ly6c
CD81,,Cd81,Tapa-1|Tapa1|Tspan28
CD138,,Sdc1,Synd|Synd1|syn-1|CD138
CD61,,Itgb3,platelet glycoprotein IIIa  (GP3A)|CD61
CD144,,Cdh5,VECD|VEC|VE-Cad|CD144|VEcad|VE-cadherin|7B4/cadherin-5
CD154,,Cd40lg,Tnfsf5|HIGM1|IMD3|Ly-62|gp39|CD154|T-BAM|Cd40L
HVEM,,Tnfrsf14,Hvem|Atar|HveA
IL-21R,IL21R,Il21r,NILR
CD31,,Pecam1,PECAM-1|Cd31
Ly49H,,Klra8,Cmv1|Ly49h|Ly49u<129>|Cmv-1
CD120a,,Tnfrsf1a,TNFAR|TNF receptor alpha chain|p55|TNF-R1|CD120a|TNFRI|TNFRp55|Tnfr1|TNF-alpha-R1|TNF-R-I|TNF-R55|TNFalpha-R1|TNFR60|p55-R|TNF-alphaR1
CD73,,Nt5e,ecto-5'-nucleotidase|2210401F01Rik|Nt5|CD73
CD105,,Eng,CD105|Endo
CD85k,,Lilrb4a,Gp49b|Lilrb4|ILT3|HM18|CD85K
CD88,,C5ar1,D7Msu1|Cd88|C5aR|C5r1
CD186,CXCR6,Cxcr6,BONZO|STRL33
CD124,,Il4ra,IL-4 receptor alpha chain|CD124|Il4r
CD79b,,Cd79b,Igb|Igbeta|B29|Ig-beta
F4/80,,Adgre1,Ly71|TM7LN3|Emr1|F4/80|DD7A5-7|EGF-TM7
CD200,,Cd200,OX2|MRC OX-2|Mox2
Mac-3,Mac3,Lamp2,Lamp-2|CD107b|Mac3|Lamp-2b|Lamp-2c|Lamp-2a
CD153,,Tnfsf8,Cd30L|CD153|CD30LG
CD11a,,Itgal,Ly-21|Cd11a|LFA-1|Ly-15
CD45,,Ptprc,T200|B220|CD45|Lyt-4|Ly-5
CD49b,,Itga2,DX5|CD49B|alpha 2 subunit|VLA-2 receptor
CD197,,Ccr7,Ebi1h|EBI1|Cmkbr7|CD197
CD127,,Il7r,CD127|IL-7 receptor alpha chain|IL-7Ralpha
CD39,,Entpd1,NTPDase-1|ectoapyrase|Cd39|2610206B08Rik
PIR-B,PIRB,Pirb,Gp91|Lilrb3
CD300c,,Cd300c,Clm6
CD300d,,Cd300c2,Cd300d|AF251705|DIgR1|Igsf7|Clm4|LMIR2|MAIR-II
Ly49D,,Klra4,ly49r<129>|Ly49d|Chok
CD229,Ly-9,Ly9,T100|Lgp100|SLAMF3|CD229
Ly6K,,Ly6k,3110035B01Rik|mLy-6K|2410015A16Rik
CD55,,Cd55,Cromer blood group|Daf1|complement-glycosylphosphatidylinositol|GPI-DAF|Daf-GPI
CD4,,Cd4,Ly-4|L3T4
MD-1,MD1,Ly86,MD-1|MD1
CD326,,Epcam,EpCAM|Tacstd1|TROP1|EpCAM1|gp40|Ep-CAM|EGP-2|Egp314|panepithelial glycoprotein 314|CD326|Ly74|GA733-2
Notch2,,Notch2,Motch B|N2
CD38,,Cd38,Cd38-rs1
CD180,,Cd180,Ly78|RP105
CD202b,,Tek,Cd202b|Tie2|Hyk|tie-2
CD104,,Itgb4,CD104
CD47,,Cd47,B430305P08Rik|Itgp|9130415E20Rik|IAP|integrin-associated protein
CD18,,Itgb2,Mac-1 beta|Cd18|2E6
33D1,,,
4-1BBLigand,,,
CD16.2,,,
CD182,CXCR2|IL8Rb|CDw128|Cmkar2|Gpcr16,Cxcr2,CD128|Cmkar2|IL-8rb|IL-8Rh|IL8RA|Il8rb|Gpcr16
CD185,CXCR5|BLR1|Gpcr6,Cxcr5,Blr1|Gpcr6|CXCR-5
CD193,CCR3|MIP-1aRL2|CKR3|Cmkbr3|CC-CKR3|Cmkbr1l2|MGC124265|MGC124266|Ccr3,Ccr3,MIP-1 alphaRL2|CC-CKR3|Cmkbr3|CKR3
CD194,,,
CD196,CCR6|KY411|Cmkbr6|CC-CKR-6,Ccr6,Cmkbr6
CD198,,,
CD199,,,
"CD21,CD35",,,
CD210,,,
CD24,HeatStableAntigen|Ly-52|Nectadrin,Cd24a,nectadrin|Ly-52|cluster of differentiation 24|HSA|heat stable antigen
CD252,OX-40Ligand|gp34|TNFSF4,Tnfsf4,Ath-1|gp34|OX40L|TXGP1|Ath1|CD134L|Txgp1l
CD253,TRAIL|APO-2L|TL2|Ly81|Trail|APO-2L|Tnfsf10,Tnfsf10,A330042I21Rik|Trail|APO-2L
CD254,ODF|OPG|OPGL|RANKL|Trance|Tnfsf11,Tnfsf11,RANKL|OPGL|Trance|ODF|Ly109l|osteoclast differentiation factor
CD255,,,
CD262,TRAIL-R2|Apo2|DR5|TRICK2|KILLER,Tnfrsf10b,TRICK2B|KILLER|TRAIL-R2|Killer/Dr5|TRAILR2|Ly98|Trail Receptor|TRICK2A|TRICKB|DR5
CD265,RANK|TRANCE-R|ODFR|Tnfrsf11a,Tnfrsf11a,TRANCE-R|Rank
CD267,TACI|Tnfrsf13b,Tnfrsf13b,Taci|1200009E08Rik
CD268,BAFFR|Tnfrsf13c,Tnfrsf13c,BAFF-R|Lvis22|Bcmd-1|Baffr|Bcmd1|2010006P15Rik
CD272,BTLA|B-andTLymphocytes|MGC124217|MGC124218|A630002H24,Btla,
CD273,B7DC|PD-L2|Btdc|PD-L2|MGC124039|MGC124040|F730015O22Rik|Pdcd1lg2,Pdcd1lg2,B7-DC|Btdc|F730015O22Rik|PD-L2
CD275,B7-H2|GL50|B7RP-1|B7h|GI50|LICOS|B7RP-1|GL50-B|ICOS-L|Icoslg|Ly115l|AU044799|BG071784|KIAA0653|mKIAA0653|Icosl,Icosl,LICOS|B7RP-1|ICOS-L|GL50-B|GL50|B7-H2|B7h
CD278,ICOS|Ly115|H4|AILIM,Icos,
CD279,PD-1|Programmeddeath-1|Pdc1|Ly101,Pdcd1,PD-1|Pdc1
CD301,,,
CD304,BDCA4|Neuropilin1|NP-1,Nrp1,Neuropilin-1|Npn1|NP-1|NPN-1
CD309,VEGFR2|Flk-1|KDR,Kdr,Flk1|VEGFR-2|vascular endothelial growth factor receptor- 2|Flk-1|VEGF receptor-2|orv|VEGFR2
CD317,BST2,Bst2,GREG|2310015I10Rik|Bst-2|C87040
CD319,CRACC|SLAMF7,Slamf7,4930560D03Rik|19A|19A24|novel Ly9|CS1
CD324,E-Cadherin|Uvomorulin,Cdh1,E-cadherin|L-CAM|E-cad|uvomorulin|UM|Ecad
CD335,NKp46|Ly-94,Ncr1,NKp46|MAR1 (mouse activating receptor 1)|Ly94
CD339,Jagged-1|Serrate1,,
CD351,FCAMR|Fcreceptor|IgA|IgM|highaffinity,Fcamr,
CD355,CRTAM,Crtam,class I-restricted T cell-associated molecule
CD357,TNFRSF18|Tumornecrosisfactorreceptorsuperfamily|member18|GITR,Tnfrsf18,Gitr
CD365,,,
CD366,,,
CD369,,,
CD370,,,
CD371,,,
CD3ε,CD3ε|CD3εchain|CD3|T3ε,Cd3e,CD3epsilon|CD3|T3e
CD45.1,Ly-5.1|Ly-5a|PTPRCa,,
CD45.2,Ly-5.2|Ly-5b|PTPRCb,,
CD45R,B220|Ly-5|Lyt-4|T200|ProteintyrosinephosphatasereceptortypeC(PTPRC),Ptprc,T200|B220|CD45|Lyt-4|Ly-5
CD45RB,,,
CD49d,VLA-4a|Integrina4,,
CD8b,Ly-3|Lyt-3|Ly-C|CD8b1,Cd8b1,Ly-3|Ly-C|Lyt-3
CD90.1,Thy-1.1|q-AKR,,
CD90.2,Thy-1.2|q-C3H,Thy1,CD90|Thy-1.2|Thy1.2|Thy 1.2|Thy1.1|Thy-1|T25
CD90.2,LRP|A2MR|AI316852|a2-Macroglobulinreceptor,Mvp,LRP|2310009M24Rik|VAULT1
DcTRAIL-R1,,,
FR4,,,
FcεRIa,,,
GITRLigand,,,
GL7,,,
H-2,,,
I-A,,,
I-E,,,
IFN-gRchain,,,
IL-33Ra,,,
Iglightchainκ,,,
Integrinb7,,,
Jagged2,,,
LPAM-1,,,
LTR,,,
MAIR-V,,,
MD2Complex,,,
PDC-TREM,,,
PIR-A,,,
PlexinB2,,,
Podoplanin,,,
RAE-1g,,,
TCRVg1.1+Vg1.2,,,
TCRbchain,,,
TCRd,,,
TCRg,,,
TER-119,,,
TLT-2,,,
Trem-like4,,,
